,lightgbm_clf_baseline,lightgbm_reg_baseline,lightgbm_ranker
2024-10-25,0.07714452021078265,0.13922735317715673,0.0686350784818708
2024-10-28,0.12651970967995696,0.14210759686030994,0.14231353805980562
2024-10-29,0.09317001258455328,0.1327137550840672,0.05517253774080216
2024-10-30,0.06626604838242994,0.17297084073172206,0.08525087008009907
2024-10-31,0.1453232084278899,0.2347845149153941,0.09495256104767132
2024-11-01,0.008536133974224829,0.17073031071059588,-0.0560252667828597
2024-11-04,0.0546986747293029,0.136503750390567,-0.08206335925716106
2024-11-05,0.18860308468858936,0.19825539583615018,0.11127399470035867
2024-11-06,0.2193532258989995,0.1416009339522442,0.1434001829781936
2024-11-07,0.21894870499423189,0.20577718284101001,0.14004240031271875
2024-11-08,0.21235011227120473,0.21029226610949525,0.1064671799850292
2024-11-11,0.3023412678733715,0.20486466344881724,0.27622224947536267
2024-11-12,0.2988286715645257,0.2541858206610839,0.2472623255062273
2024-11-13,0.2975449060701549,0.3003522121597963,0.251338489807901
2024-11-14,0.26187499972338374,0.26962126771064593,0.20030934063628145
2024-11-15,0.2194572033729644,0.299855700751653,0.16362307512889196
2024-11-18,0.17110602860227636,0.36547583466839373,0.15877457091162184
2024-11-19,0.2490004640326837,0.2707877877079162,0.22404653212123465
2024-11-20,0.21747294211582222,0.23681308796946418,0.19875855606507362
2024-11-21,0.18933522026138344,0.23931247503164724,0.16437030180414172
2024-11-22,0.12355207115868362,0.2343487690908124,0.09523218215519795
2024-11-25,0.1532354498833397,0.2228729052657004,0.15940165497670772
2024-11-26,0.1481187340860905,0.13721274947508222,0.17470011033947241
2024-11-27,0.16392172824347895,0.13680870200150463,0.1826292662146229
2024-11-28,0.14905392996579575,0.05784808910570722,0.1267216624236603
2024-11-29,0.1484497227934909,0.12993248226564616,0.13419289694500347
2024-12-02,0.15740414654695725,0.13793144910674507,0.20107130579444862
2024-12-03,0.19554710526174393,0.15344075543213387,0.2531186978566818
2024-12-04,0.1799778772518357,0.1557518690541302,0.25112341914135167
2024-12-05,0.22445920110422884,0.13300229396843505,0.27040577991305553
2024-12-06,0.2952319032283049,0.11669222251595032,0.23885932126404824
2024-12-09,0.2649184996245885,0.06644575263752867,0.21013078981740962
2024-12-10,0.2354821784063941,0.07998867683046054,0.27346193633984706
2024-12-11,0.16204339862177325,0.10575737744190819,0.24876046972091637
2024-12-12,0.1716514153376297,0.12287213251355089,0.2604304045184266
2024-12-13,0.16506209175459766,0.11250870629470566,0.2161521334145585
2024-12-16,0.11883393512876408,0.06867481586992386,0.16165779073891662
2024-12-17,0.13663701945116746,0.05589689926720812,0.16560539721772824
2024-12-18,0.1649565342993027,0.07033276647006466,0.13109440211937506
2024-12-19,0.1882460536222096,0.08626905622145195,0.17133636139276814
2024-12-20,0.14531165411515803,0.05168348510798847,0.1381808006369019
2024-12-23,0.08216693155884361,0.01900767617871228,0.08678852365389682
2024-12-24,0.08276380704130841,0.07526067768420358,0.0477160635448822
2024-12-25,0.06418743119811968,0.1311296794299407,0.09740854250864943
2024-12-26,0.06365124822939784,0.1294298386684792,0.14847578028693803
2024-12-27,0.11939558066192862,0.16796262856401303,0.18367928397991506
2024-12-30,0.07058214164700181,0.11715434686606277,0.06624539751327192
2024-12-31,-0.014784578983696771,-0.0891848786896691,-0.10981406144888033
2025-01-02,-0.10696214407421653,-0.16899172625363668,-0.22289480949613721
2025-01-03,-0.11574899548427901,-0.20549828516129065,-0.3254977621727572
2025-01-06,-0.09792907454984354,-0.1903033086009814,-0.2651667179164649
2025-01-07,-0.06534159675431075,-0.19051588574721037,-0.2508235647326813
2025-01-08,-0.04489718740394576,-0.22195574865874618,-0.24246350426725208
2025-01-09,-0.05156447599493288,-0.18586488991194589,-0.1836503301164607
2025-01-10,-0.08789521860546234,-0.2031806657413256,-0.25219429446580754
2025-01-13,-0.08831595776596084,-0.11856226642937884,-0.1800246282635996
2025-01-14,-0.05696267822436591,-0.11544505016293624,-0.1195952174793615
2025-01-15,-0.04838103428685541,-0.09716187238677583,-0.17018220199550604
2025-01-16,-0.190735643916295,-0.1908161047164397,-0.27455915610198656
2025-01-17,-0.2350756035298919,-0.15639375597603247,-0.2239738489455799
2025-01-20,-0.1710572532081738,-0.15500883473233962,-0.17920235284145963
2025-01-21,-0.15779965147161432,-0.15020303456710668,-0.19114503810982975
2025-01-22,-0.10607660616296087,-0.09464398935049233,-0.08279744755980088
2025-01-23,-0.11751934780734817,-0.10994665662145259,-0.09348644875152495
2025-01-24,-0.08335530340120018,-0.06606755662739888,-0.05608892252871902
2025-01-27,-0.1156143283994073,-0.11172882149863875,-0.16107386744101795
2025-02-05,-0.09538404755440184,-0.020441116086227964,-0.09335217371910606
2025-02-06,-0.03469793616190474,-0.056273389412831984,-0.09692734826011024
2025-02-07,0.05735201285894657,0.018686509720218954,-0.0016984418485896282
2025-02-10,0.05336867512306009,0.014622709452999228,0.014122247069750656
2025-02-11,0.029566015904565618,0.04675579936553779,-0.00627106429820362
2025-02-12,0.08656013097533566,0.03942555924484269,0.025719321419106007
2025-02-13,0.07357525158054473,0.10296839321677496,0.03791158864236256
2025-02-14,0.037939453353576354,0.03592993197359123,0.015745674458703805
2025-02-17,0.07182857403752906,0.03681498052483615,0.07236125960084193
2025-02-18,-0.041667857467766585,-0.02807432358735812,-0.06842070864094879
2025-02-19,0.07439962233207352,-0.014541566260156666,0.09091932151040616
2025-02-20,0.06157298015676885,0.04234826177987951,0.12915705003759068
2025-02-21,0.21254042882525603,0.19590072124139626,0.2519057359592681
2025-02-24,0.24988329597427839,0.23901081889873085,0.2839688244072326
2025-02-25,0.2519534005283644,0.24584381850272358,0.2895269649057556
2025-02-26,0.2754668955383679,0.28931420961566595,0.31629712857079767
2025-02-27,0.3607917459414195,0.25307731730962124,0.33644540035073994
2025-02-28,0.30132679581131483,0.19912229167988163,0.31144697949909383
2025-03-03,0.2682324514824595,0.18666119471189466,0.2837098681967006
2025-03-04,0.2937310350882003,0.21202858296706165,0.29217136267134847
2025-03-05,0.32795943097703006,0.2624147293281645,0.314168789086819
2025-03-06,0.3647226202217246,0.2625905193339335,0.33898192123748283
2025-03-07,0.3817628112862938,0.23089440412151369,0.3682725522241379
2025-03-10,0.41239820833827,0.21204484256365733,0.39628417129398735
2025-03-11,0.3393861069171717,0.17216979759484535,0.3403799447517392
2025-03-12,0.3368408021653489,0.18714981377553683,0.3183870807580115
2025-03-13,0.2980412491398505,0.16338708844237593,0.2822037636474
2025-03-14,0.29108560605198136,0.2172232646910095,0.30995432075619356
2025-03-17,0.3024837462037263,0.16591145706738347,0.3028774929537717
2025-03-18,0.291298958211618,0.15885795416176843,0.2830336142866272
2025-03-19,0.2866045790338837,0.14072077169921213,0.2607109550029641
2025-03-20,0.26240305723940727,0.08525847055570027,0.2559486758013191
2025-03-21,0.20559274548972428,0.043900889464065444,0.19941337168380596
2025-03-24,0.2529803648798446,0.07557472396463875,0.22214582305561031
2025-03-25,0.18623816639710813,0.04450795417478913,0.16935225646974744
2025-03-26,0.23563003388721143,0.04975335746406058,0.2302122654400716
2025-03-27,0.22568509288540148,0.07869127388547895,0.18877119782047752
