,lightgbm_clf_baseline,lightgbm_reg_baseline,lightgbm_ranker
2024-01-03,0.12207290655880619,-0.1422062849862458,0.04381704810192765
2024-01-04,0.0289759692457167,-0.14132183202999823,0.004175829204658325
2024-01-05,-0.05607584584534641,-0.15244340733522138,-0.0599890285955523
2024-01-08,-0.08649039167801344,-0.2356316784194932,-0.07201859257168798
2024-01-09,-0.09069618996843082,-0.24178496392716217,-0.09250954551470303
2024-01-10,-0.1155214104762053,-0.2564253637810519,-0.14568755268942069
2024-01-11,-0.1274426925939319,-0.24388164061099815,-0.14590861682378634
2024-01-12,-0.15548011216041902,-0.2627784764746948,-0.2358405950087436
2024-01-15,-0.12234960387936582,-0.2946089982813393,-0.2174743915353016
2024-01-16,-0.06848227018614264,-0.31159709944296304,-0.18299878309362533
2024-01-17,-0.10231743258289767,-0.30566969563316126,-0.20143540400778126
2024-01-18,-0.05908691260453144,-0.28765290634944846,-0.17958062232074273
2024-01-19,-0.07967287710710753,-0.27794814706068244,-0.19568293492296904
2024-01-22,-0.02387494830647614,-0.06181373047521196,-0.08197568234940701
2024-01-23,-0.07110076434516359,-0.20957388438339936,-0.11387820956653949
2024-01-24,-0.09413498847103402,-0.10036647464581298,-0.11863426316310964
2024-01-25,-0.06812597723359741,-0.06459720022832398,-0.13183282074126285
2024-01-26,-0.08810392384699893,0.011136592029851185,-0.0942923680230451
2024-01-29,-0.09825935751999945,0.018849094452845407,-0.12568942935168936
2024-01-30,-0.08906791177649918,0.11929931392508071,-0.035416902069120175
2024-01-31,-0.04270544546076056,0.1276541747833288,-0.012275239360413052
2024-02-01,-0.048749381357642875,0.1317951272787427,0.032121544619508204
2024-02-02,-0.05580897004628827,0.2437886838991704,0.10019765065589564
2024-02-05,-0.012108923938156152,0.28711010743360005,0.1142373968281219
2024-02-06,0.036257877208762154,0.28431455166314645,0.14802558202882812
2024-02-07,-0.03849639817589757,0.19904910112570334,0.0843379018912416
2024-02-08,-0.005828699522091125,0.15564305837819808,0.0729077898622915
2024-02-19,0.03763327662427495,0.15355043995637177,0.08937368037568397
2024-02-20,0.03146765006323907,0.2137555699310686,0.07900214520119785
2024-02-21,0.024882619966664354,0.2348893359523596,0.06777643731743424
2024-02-22,0.05262471838785876,0.22407718600807516,0.08599545032765485
2024-02-23,-0.08440150538643353,0.16926460821948053,0.039923317853680626
2024-02-26,-0.11483262200138317,0.036804260418578566,-0.05684206326707396
2024-02-27,-0.058289484092022746,0.0049134303688638595,-0.13417774518927933
2024-02-28,-0.09259488506662038,-0.007413017180653538,-0.1521848176665815
2024-02-29,-0.1008745516364107,-0.018206513039410784,-0.12754510529978283
2024-03-01,-0.0650153494086211,-0.04846312046066221,-0.06341827806216278
2024-03-04,-0.08981861551465756,-0.030427774979178285,-0.08289391783838539
2024-03-05,-0.03223881513125624,0.006800861825560076,-0.04724704419213958
2024-03-06,-0.021734452803048077,-0.03743407989486555,-0.03893284506597811
2024-03-07,-0.09016546064798882,-0.07031992838425957,-0.1137524485090736
2024-03-08,0.0062146610576313,-0.02170982356139557,-0.04369126113882296
2024-03-11,0.001119026799386508,-0.07533462708353321,-0.004831313438879003
2024-03-12,0.008384234670632176,-0.08023552416946612,0.006961663792222929
2024-03-13,0.02673413507417626,-0.1171010192807115,0.017603875713478306
2024-03-14,0.02485958596142593,-0.10147670670822172,0.02978297051538679
2024-03-15,0.04235751903517179,-0.170065507300139,0.043529585908492395
2024-03-18,0.08131227182439686,-0.14294071828251262,0.04504098946461881
2024-03-19,0.05554876107637354,-0.1423230117602705,0.05439422220681245
2024-03-20,0.06998117220930393,-0.14011595125977055,0.09028551938027579
2024-03-21,0.08112005213853532,-0.1135487567833076,0.09956420026677851
2024-03-22,0.07957918130623508,-0.11621056142478157,0.0979519481132888
2024-03-25,0.08816457393304612,-0.09288204155612592,0.07955149420689914
2024-03-26,0.07524980991184271,-0.07719116276182025,0.051707921797597416
2024-03-27,0.026688796665138886,-0.04234786136180976,0.02026341491802558
2024-03-28,0.06026786669663865,-0.04429304428201921,0.08312191478917313
2024-03-29,0.072491423611151,-0.10432019384731726,0.08613430924002308
2024-04-01,0.10716933917925639,-0.12497260056337132,0.11981242932536708
2024-04-02,0.0748575854098254,-0.0769469192981281,0.09400642329546556
2024-04-03,0.04703736179329204,-0.10897238905603152,0.06705182940784953
2024-04-08,0.11313793506732647,0.049066740496583584,0.1317496064827635
2024-04-09,0.1074819637398207,-0.048871612678049445,0.09441661417735896
2024-04-10,0.12098337994199469,0.005510354187317521,0.07746464134003106
2024-04-11,0.08875659423211259,0.06102059636275651,0.05992295506871533
2024-04-12,0.1080303254992715,-0.003063076978627071,0.10262457017505591
2024-04-15,0.09464364974049923,0.037910712739579924,0.10214496698901127
2024-04-16,0.13296472167984913,0.1402521594960564,0.14894015021902013
2024-04-17,0.14339090693597578,0.09098689966449351,0.10977554886634698
