model_id,fold,feature,importance,importance_pct
lightgbm_clf_baseline,16,STD60,6009.668129205704,3.504353684607579
lightgbm_clf_baseline,16,MIN_RATIO_250,5860.068581089377,3.417119295555489
lightgbm_clf_baseline,16,STD30,4945.417361021042,2.8837684841187636
lightgbm_clf_baseline,17,LOG_CIRC_MV,575.5992078781128,21.86340689436495
lightgbm_clf_baseline,17,ROC_STD_250,349.5743999481201,13.278140833608745
lightgbm_clf_baseline,17,ROC120,267.46839904785156,10.15944837958474
lightgbm_clf_baseline,17,AMIHUD_20,194.85630226135254,7.401369848954774
lightgbm_clf_baseline,17,VSTD_60,174.1765022277832,6.61587383638248
lightgbm_clf_baseline,17,MOM_ACC_60_120,138.04220008850098,5.243358135001701
lightgbm_clf_baseline,17,ATR_RATIO_20,106.91130065917969,4.06089034857116
lightgbm_clf_baseline,17,LIMIT_UP_SPACE,80.55370330810547,3.0597303960258464
lightgbm_clf_baseline,17,MIN_RATIO_60,79.97250366210938,3.037654263582724
lightgbm_clf_baseline,17,MOM_ACC_20_60,78.53960037231445,2.9832272469428847
lightgbm_clf_baseline,18,LOG_CIRC_MV,559.0336837768555,20.174219138410333
lightgbm_clf_baseline,18,MOM_ACC_20_60,198.07200622558594,7.147955793616497
lightgbm_clf_baseline,18,VSTD_60,189.6962013244629,6.845692569700858
lightgbm_clf_baseline,18,ROC120,155.18310165405273,5.600195462634627
lightgbm_clf_baseline,18,AMIHUD_20,151.7742042541504,5.477176322354274
lightgbm_clf_baseline,18,ROC60,151.1010036468506,5.452882085763696
lightgbm_clf_baseline,18,ROC_STD_250,134.72139930725098,4.861780445671038
lightgbm_clf_baseline,18,MA_RATIO_250,114.7389965057373,4.140662229133241
lightgbm_clf_baseline,18,WVMA_20,109.73820114135742,3.9601952117153485
lightgbm_clf_baseline,18,MIN_RATIO_120,107.79980087280273,3.8902428762289145
lightgbm_clf_baseline,19,LOG_CIRC_MV,718.6967105865479,25.606361065289796
lightgbm_clf_baseline,19,MOM_ACC_20_60,310.7775020599365,11.072655282116061
lightgbm_clf_baseline,19,ROC_STD_250,197.81150245666504,7.047802891206989
lightgbm_clf_baseline,19,WVMA_20,166.1795997619629,5.92079352877146
lightgbm_clf_baseline,19,VSTD_60,154.62860107421875,5.5092443471679
lightgbm_clf_baseline,19,AMIHUD_20,132.7023983001709,4.728038232331485
lightgbm_clf_baseline,19,STD250,132.18180084228516,4.709489926377205
lightgbm_clf_baseline,19,STD60,113.2809009552002,4.036071974355967
lightgbm_clf_baseline,19,LIMIT_UP_SPACE,105.5270004272461,3.759809159098204
lightgbm_clf_baseline,19,MAX_RATIO_120,93.55109977722168,3.33312119516375
lightgbm_clf_baseline,20,LOG_CIRC_MV,7449.565807342529,10.419074082230926
lightgbm_clf_baseline,20,VSTD_60,5142.334490776062,7.192145878112586
lightgbm_clf_baseline,20,MOM_ACC_20_60,4386.139734745026,6.134520589949314
lightgbm_clf_baseline,20,ROC_STD_250,3894.578535079956,5.447015749034606
lightgbm_clf_baseline,20,STD250,3612.733911514282,5.052823645957286
lightgbm_clf_baseline,20,MOM_ACC_60_120,3312.553821325302,4.63298728521166
lightgbm_clf_baseline,20,STD120,3288.0114850997925,4.598662006947446
lightgbm_clf_baseline,20,ROC250,2431.949532032013,3.4013609643549674
lightgbm_clf_baseline,20,AMIHUD_20,2319.6860275268555,3.244347549020449
lightgbm_clf_baseline,20,MIN_RATIO_250,2273.741211414337,3.1800884424965514
double_ensemble,1,AMIHUD_20_LN,7159.744194735069,13.936732626562517
double_ensemble,1,LOG_CIRC_MV,5639.145457251158,10.976825476222496
double_ensemble,1,STD250,4955.143016594007,9.645386967795778
double_ensemble,1,STD120,4361.195463490078,8.489243952533092
double_ensemble,1,MIN_RATIO_250,2971.886057163674,5.784896813178926
double_ensemble,1,ROC30,2826.0758176176023,5.50107126473783
double_ensemble,1,TURNOVER_STD_20,2646.7675549275355,5.1520404548546335
double_ensemble,1,STD30,2563.159458825704,4.989293902869715
double_ensemble,1,MA_RATIO_250,2422.7840387460506,4.716047451071876
double_ensemble,1,MA_RATIO_120,2256.8942929131954,4.393136328791695
double_ensemble,2,STD250,64917.663380997416,25.25341300729319
double_ensemble,2,AMIHUD_20_LN,41443.05269936091,16.121629639651058
double_ensemble,2,ATR_RATIO_60,28618.59202718638,11.132827130702278
double_ensemble,2,AMIHUD_20,15794.632488567713,6.144219566118388
double_ensemble,2,LOG_CIRC_MV,15330.57708776067,5.963698855967943
double_ensemble,2,MIN_RATIO_120,13101.317576594687,5.096501729578608
double_ensemble,2,STD60,12717.499639499561,4.9471939390596456
double_ensemble,2,ROC120,9737.370299769838,3.7879033375224345
double_ensemble,2,MIN_RATIO_250,9135.662786146253,3.5538350183663914
double_ensemble,2,MA_RATIO_120,7970.88088021375,3.1007269272556157
double_ensemble,3,LOG_CIRC_MV,24827.736201061714,17.57537172770391
double_ensemble,3,AMIHUD_20_LN,19531.67870785533,13.826331606582698
double_ensemble,3,STD120,14210.79322679667,10.059715935591738
double_ensemble,3,STD250,12722.52915444252,9.006184752209338
double_ensemble,3,STD60,9530.21114349775,6.746366327322118
double_ensemble,3,ATR_RATIO_60,9306.994567736674,6.588352956186883
double_ensemble,3,MIN_RATIO_120,8515.856531543106,6.028312163042276
double_ensemble,3,MA_RATIO_20,5414.050672906449,3.83256662461587
double_ensemble,3,TURNOVER_STD_20,5411.3918930396985,3.8306844939164835
double_ensemble,3,AMIHUD_20,4990.657731396194,3.5328498774397614
double_ensemble,4,AMIHUD_20_LN,2937.7849085270664,15.233251782848725
