factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
ATR_RATIO_5,10D,-0.0238,-2.0016,0.045553,0.10822
ATR_RATIO_5,20D,-0.0361,-2.1531,0.03151,0.08914
ATR_RATIO_20,1D,-0.0222,-4.3006,1.8e-05,0.000242
ATR_RATIO_20,3D,-0.0305,-4.0942,4.5e-05,0.000484
ATR_RATIO_20,5D,-0.0278,-2.9051,0.003739,0.01848
ATR_RATIO_20,10D,-0.0286,-2.1033,0.035654,0.094439
ATR_RATIO_20,20D,-0.0414,-2.2106,0.027253,0.082479
ATR_RATIO_60,1D,-0.0206,-3.8342,0.000133,0.001217
ATR_RATIO_60,3D,-0.0278,-3.5789,0.000359,0.002807
ATR_RATIO_60,5D,-0.0261,-2.6087,0.009202,0.038416
ATR_RATIO_60,10D,-0.0277,-1.9457,0.051922,0.118129
ATR_RATIO_60,20D,-0.0377,-1.9703,0.049036,0.112757
ROC_STD_20,1D,-0.0089,-2.1048,0.035519,0.094439
ROC_STD_20,3D,-0.0088,-1.4744,0.140633,0.246825
ROC_STD_20,5D,-0.0085,-1.1414,0.253917,0.389609
ROC_STD_20,10D,-0.011,-1.1497,0.250512,0.387483
ROC_STD_20,20D,-0.0139,-1.1411,0.254073,0.389609
ROC_STD_60,1D,-0.0046,-0.9801,0.32723,0.473767
ROC_STD_60,3D,-0.0098,-1.4754,0.140373,0.246825
ROC_STD_60,5D,-0.0125,-1.5274,0.126922,0.227402
ROC_STD_60,10D,-0.0161,-1.4833,0.138268,0.245683
ROC_STD_60,20D,-0.0205,-1.4203,0.15578,0.260644
ROC_STD_120,1D,0.0007,0.1519,0.87927,0.940513
ROC_STD_120,3D,-0.0034,-0.5035,0.614738,0.742521
ROC_STD_120,5D,-0.0037,-0.4429,0.657885,0.772006
ROC_STD_120,10D,-0.0073,-0.6378,0.523701,0.659216
ROC_STD_120,20D,-0.013,-0.8429,0.399461,0.545296
ROC_STD_250,1D,0.005,1.0786,0.280994,0.426799
ROC_STD_250,3D,0.0047,0.6803,0.49645,0.641062
ROC_STD_250,5D,0.0073,0.8065,0.420095,0.568053
ROC_STD_250,10D,0.0075,0.57,0.568752,0.700509
ROC_STD_250,20D,0.007,0.3789,0.704853,0.813001
MOM_ACC_20_60,1D,-0.0059,-1.2239,0.221235,0.352337
MOM_ACC_20_60,3D,-0.0158,-2.3126,0.020916,0.067119
MOM_ACC_20_60,5D,-0.0202,-2.3927,0.016877,0.059485
MOM_ACC_20_60,10D,-0.0286,-2.5046,0.012393,0.04758
MOM_ACC_20_60,20D,-0.0401,-2.7656,0.005771,0.025583
MOM_ACC_60_120,1D,0.0047,0.9979,0.318518,0.46745
MOM_ACC_60_120,3D,-0.0009,-0.1262,0.899609,0.959881
MOM_ACC_60_120,5D,-0.0017,-0.1964,0.844324,0.923614
MOM_ACC_60_120,10D,-0.0075,-0.6369,0.524307,0.659216
MOM_ACC_60_120,20D,-0.0147,-0.99,0.32236,0.469881
VMA_RATIO_5,1D,-0.0025,-0.9272,0.354011,0.500739
VMA_RATIO_5,3D,-0.0059,-2.0512,0.040464,0.102151
VMA_RATIO_5,5D,-0.0025,-0.8765,0.380922,0.524989
VMA_RATIO_5,10D,-0.0042,-1.6011,0.109612,0.201424
VMA_RATIO_5,20D,-0.0057,-2.5007,0.01253,0.047681
VSTD_5,1D,-0.0023,-0.9737,0.330381,0.476724
VSTD_5,3D,-0.0017,-0.5679,0.570182,0.700509
VSTD_5,5D,-0.0056,-1.6038,0.109032,0.201218
VSTD_5,10D,-0.0047,-1.1398,0.254605,0.389609
VSTD_5,20D,-0.0068,-1.577,0.115065,0.209652
VMA_RATIO_10,1D,-0.0005,-0.1983,0.842841,0.923614
VMA_RATIO_10,3D,-0.0044,-1.462,0.143998,0.249502
VMA_RATIO_10,5D,-0.0016,-0.4682,0.639737,0.755733
VMA_RATIO_10,10D,-0.0067,-1.8097,0.070593,0.144548
VMA_RATIO_10,20D,-0.0069,-1.9715,0.0489,0.112757
