factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
MIN_RATIO_10,REJECT,REJECT,-0.0696,1,1D,0.016,0.1245,0.1286,0.4564,4.3907,1.6315,1.2e-05,0.10306,0.198579,0.5472,-0.0102,0.1419,-0.0722,-0.2563,0.4751,-2.4657,-0.8223,0.013817,0.411067,0.198579,-0.5,0.2959,0.001657,0.001164,1.1192,-0.683,0.5207,0.3538,0.6308,0.3284,0.2555,0.9918,1.0,0.6642,0.8333,VALID,0.0052,0.0258,0.0158,0.9995,0.0005,7
IS_LIMIT_UP_LAG1,REJECT,REJECT,-0.0742,-1,20D,-0.0056,0.086,-0.0655,-0.2324,-2.2354,-1.49,0.025579,0.136501,0.243972,0.2684,-0.0072,0.0858,-0.0834,-0.2962,0.2556,-2.8492,-1.8776,0.004461,0.060691,0.243972,-0.7,0.8454,0.003459,0.002606,2.2147,-0.4504,0.5468,0.891,1.8183,0.569,0.8554,2.6908,1.0,0.7845,0.8333,VALID,-0.0047,-0.0046,-0.0066,1.0,0.0,0
KLOW,WEAK,WEAK,-0.1638,-1,20D,-0.0141,0.0967,-0.1455,-0.5166,-4.9695,-2.2381,1e-06,0.025405,0.080927,0.4357,0.006,0.1116,0.0534,0.1894,0.5309,1.8221,0.6987,0.068699,0.484882,0.080927,0.3,0.2927,0.00224,0.001156,1.1023,-0.643,0.5173,0.3713,1.016,0.723,0.5066,1.9454,1.0,0.8615,0.8333,VALID,-0.0078,-0.012,-0.0179,1.0,0.0,0
ROC10,REJECT,REJECT,-0.1846,-1,20D,-0.0129,0.1367,-0.0942,-0.3343,-3.2155,-1.1972,0.001338,0.231478,0.367204,0.4828,0.0045,0.149,0.0303,0.1075,0.5111,1.0339,0.3707,0.301376,0.710959,0.367204,0.3,0.6619,0.002559,0.002193,1.8469,-0.7126,0.535,0.7148,1.1197,0.2439,0.5555,1.739,1.0,0.6219,0.8333,VALID,0.0128,-0.0521,-0.0042,0.9994,0.0006,6
VMA_RATIO_5,REJECT,REJECT,-0.2061,-1,20D,-0.0058,0.0883,-0.0661,-0.2347,-2.2576,-2.6247,0.024158,0.008786,0.038137,0.4708,-0.0071,0.0909,-0.0783,-0.2778,0.4623,-2.6725,-3.1239,0.007633,0.001829,0.038137,-0.7,0.4351,0.002598,0.001587,1.4324,-0.7339,0.5173,0.5002,1.1318,0.674,0.7387,2.6903,1.0,0.837,1.0,VALID,-0.0044,-0.0054,-0.0067,0.9998,0.0002,18
VMA_RATIO_20,REJECT,REJECT,-0.2206,-1,10D,-0.0073,0.0889,-0.0826,-0.2931,-2.8197,-1.4679,0.004888,0.1424,0.252233,0.4597,-0.0114,0.0911,-0.1248,-0.4431,0.44,-4.2624,-2.3181,2.2e-05,0.020614,0.252233,-0.6,0.6215,0.002861,0.002076,1.8518,-0.7171,0.5241,0.6636,1.2329,0.5234,0.8846,3.0511,1.0,0.7617,0.8333,VALID,-0.0107,-0.0028,-0.0082,0.9989,0.0011,19
MIN_RATIO_5,WEAK,WEAK,-0.3065,1,1D,0.0127,0.1161,0.1098,0.3897,3.7488,1.8109,0.000186,0.070408,0.157574,0.548,-0.0067,0.1296,-0.0518,-0.1837,0.4803,-1.7675,-0.7232,0.077405,0.469699,0.157574,-0.1,0.3635,0.002065,0.001376,1.2768,-0.694,0.5232,0.3709,0.7508,0.459,0.4136,1.5359,1.0,0.7295,0.8333,VALID,0.0115,0.0172,0.0111,0.9998,0.0002,0
KUP,WEAK,WEAK,-0.324,-1,20D,-0.0146,0.1062,-0.1372,-0.4869,-4.6842,-1.8784,3e-06,0.06057,0.138949,0.4262,0.0094,0.1241,0.0756,0.2682,0.5206,2.58,0.9032,0.010003,0.366624,0.138949,0.2,0.1045,0.001554,0.000517,0.521,-0.6526,0.5021,0.2278,0.7958,0.6912,0.1206,0.5284,1.0,0.8456,0.8333,VALID,-0.0127,0.0012,-0.0234,1.0,0.0,0
ROC_STD_250,REJECT,REJECT,-0.3513,1,5D,0.0046,0.1765,0.0263,0.0932,0.897,0.2488,0.369915,0.803546,0.889078,0.5652,0.0223,0.1861,0.12,0.426,0.5978,4.0978,1.1215,4.5e-05,0.262297,0.889078,0.6,1.2478,0.003514,0.003434,2.6156,-0.7774,0.5696,1.2552,1.5638,0.0529,1.2064,2.6642,1.0,0.5265,0.8333,VALID,-0.0074,-0.0043,0.0144,0.9811,0.0189,16
VSTD_60,REJECT,REJECT,-0.3562,-1,20D,-0.013,0.1149,-0.1129,-0.4007,-3.8545,-1.0385,0.000122,0.299273,0.444409,0.4451,-0.0172,0.1208,-0.1427,-0.5067,0.4074,-4.8744,-1.2781,1e-06,0.201468,0.444409,-0.2,0.5589,0.002005,0.001918,1.7206,-0.7677,0.5629,0.5704,0.7518,0.0578,0.4746,1.7804,1.0,0.5289,0.5,VALID,-0.0148,-0.0112,-0.0131,0.9962,0.0038,0
MA_RATIO_250,REJECT,REJECT,-0.3874,1,20D,0.0175,0.1736,0.101,0.3586,3.4501,0.9763,0.00058,0.329115,0.471016,0.5069,-0.0073,0.1894,-0.0385,-0.1368,0.458,-1.3157,-0.366,0.188539,0.714403,0.471016,-0.1,0.4882,0.001838,0.001749,1.4901,-0.6766,0.5207,0.6154,0.9168,0.0589,0.2976,0.9536,1.0,0.5294,0.8333,VALID,0.004,0.0379,0.0131,0.9812,0.0188,14
LIMIT_UP_SPACE,WEAK,WEAK,-0.4307,-1,20D,-0.0135,0.1069,-0.1263,-0.4484,-4.3134,-1.64,1.7e-05,0.101278,0.196102,0.4468,-0.0013,0.1219,-0.011,-0.0389,0.4837,-0.3747,-0.1292,0.707984,0.897223,0.196102,0.0,0.1473,0.00149,0.000674,0.6652,-0.6836,0.519,0.1759,0.4992,0.544,0.1601,0.7175,1.0,0.772,0.8333,VALID,-0.0017,0.0024,-0.0267,1.0,0.0,0
VSTD_5,REJECT,REJECT,-0.4574,-1,20D,-0.0062,0.0748,-0.0823,-0.2921,-2.8099,-1.4351,0.005038,0.15154,0.263623,0.4537,-0.0027,0.0765,-0.0348,-0.1236,0.4717,-1.1887,-0.5844,0.234818,0.559092,0.263623,-0.6,0.3528,0.001928,0.001343,1.2527,-0.6698,0.519,0.381,0.7431,0.3904,0.3678,1.6161,1.0,0.6952,0.5,VALID,-0.0147,-0.0043,-0.0034,0.9998,0.0002,0
ROC_STD_20,REJECT,REJECT,-0.4607,-1,20D,-0.0133,0.1332,-0.0997,-0.3538,-3.4032,-1.0836,0.000689,0.278747,0.423481,0.4794,0.0108,0.1353,0.0798,0.2834,0.5489,2.7263,0.8374,0.006501,0.402545,0.423481,0.1,0.4313,0.001837,0.001569,1.4521,-0.7698,0.5342,0.5941,1.0159,0.1781,0.3005,1.1174,1.0,0.5891,0.6667,VALID,0.0149,-0.0509,-0.0065,0.9988,0.0012,8
ROC_STD_120,REJECT,REJECT,-0.4863,-1,20D,-0.0157,0.1536,-0.1024,-0.3634,-3.4962,-1.0125,0.00049,0.311492,0.45402,0.4966,-0.0006,0.1606,-0.0038,-0.0133,0.542,-0.1283,-0.0366,0.897898,0.970788,0.45402,0.1,0.3509,0.001452,0.001335,1.2525,-0.523,0.5241,0.5097,0.8196,0.0781,0.2077,0.7697,1.0,0.539,0.6667,VALID,0.0007,-0.0263,-0.0175,0.9918,0.0082,14
