,lightgbm_clf_baseline,lightgbm_reg_baseline,lightgbm_ranker,double_ensemble
2024-05-31,0.05926765081936609,-0.008891270028742057,0.05373553511303477,0.008372586918057737
2024-06-03,0.16335236958551452,-0.019354737579949523,0.09518006180257554,0.06586250006628756
2024-06-04,0.1586895788768462,-0.04746156779655789,0.09033485126826381,0.08101488834023762
2024-06-05,0.14281630141388776,-0.05020273443661446,0.0787222998383678,0.07589479306562062
2024-06-06,0.15535503213931917,-0.02607530517732214,0.08626776943815861,0.10291792951241686
2024-06-07,0.08140515707040304,-0.01202169374739094,0.06727071702100774,0.05805157047562707
2024-06-11,0.09656711312916696,-0.02965635569187877,0.05201423273623852,0.010800790077261008
2024-06-12,0.0893094223557073,-0.08645773767285679,0.03911037028479821,0.02737023149954499
2024-06-13,0.12674594606407494,-0.04409063743309143,0.06133459371090001,0.015954344420786096
2024-06-14,0.17829339844046121,-0.0488818851919551,0.06734402586087966,0.0941551002815784
2024-06-17,0.1807932731003013,-0.05056215255739933,0.12154511773299397,0.13653621022634535
2024-06-18,0.1639938080711199,-0.04242201528330025,0.10480488272734942,0.09432420589151866
2024-06-19,0.24361526869555114,-0.05248852231964021,0.13996655853211556,0.11128222136241554
2024-06-20,0.21638711191241752,-0.10960430201331833,0.14262224301794807,0.12400173877493405
2024-06-21,0.22918299471958803,-0.08349765867792797,0.13554871907294502,0.19157982781441776
2024-06-24,0.12375547865002992,-0.06377306117849668,0.14225494483276582,0.09491729362409655
2024-06-25,0.17453373368618988,-0.047150850668250005,0.11859858033070526,0.08375515327443143
2024-06-26,0.21511623549868475,-0.0707447950425093,0.15714583883108504,0.10568407635440877
2024-06-27,0.19837029400248318,-0.04210097883741833,0.15048664898077388,0.14067704819546947
2024-06-28,0.18172955192609536,0.04829443216564419,0.03331706120786985,0.07831862740087747
2024-07-01,0.21652471902750134,0.026453490188954664,0.06050229366935439,0.12033238347605389
2024-07-02,0.12544905255791564,0.015297199208351825,0.03611106644650042,0.013573252987649078
2024-07-03,0.014284207138379525,-0.01103626661348799,-0.030314426369210924,-0.06838871077204485
2024-07-04,0.09495913072449924,0.06867160416933227,-0.03439669798735344,-0.06462192516465622
2024-07-05,0.186896743648632,0.09039401418367643,0.05132597758104279,0.032432675599124855
2024-07-08,0.23504586465112656,0.08952243251625312,0.07500937581423194,0.05252654809624936
2024-07-09,0.29093773735892586,0.15088623841917367,0.11629291526098356,0.09523894214528485
2024-07-10,0.36421062433526613,0.14867332804804317,0.18669525537920792,0.16979048589789209
2024-07-11,0.3412468542590907,0.1462272339832412,0.20511289553866666,0.13815441205732346
2024-07-12,0.3545136646054687,0.10922918012405484,0.2252216928380673,0.19830098865969872
2024-07-15,0.3815195142910996,0.11757130400165282,0.24271934047503702,0.150175575887728
2024-07-16,0.42657747597228446,0.14098901990227175,0.28263858121310625,0.16691609366516003
2024-07-17,0.38213847059743483,0.138187318218785,0.25242033365412775,0.12810553929651156
2024-07-18,0.37948956693554586,0.1394453174928299,0.27324692516593213,0.08719818968756043
2024-07-19,0.3267655957175427,0.15268445215760473,0.29529545624911196,0.0781841751033033
2024-07-22,0.39152325600629695,0.1537458157525484,0.352116853506274,0.2371464603702149
