,classification_rankic,regression_rankic,lambdarank_rankic,reg_minus_clf,rank_minus_clf
2024-03-01,0.049049757568397,0.010357705776990477,0.115823874804658,-0.03869205179140653,0.066774117236261
2024-03-04,0.05269175903853756,0.03159919313704314,0.046659406289174046,-0.02109256590149442,-0.0060323527493635135
2024-03-05,0.07368571005944291,0.039834246346499465,0.07081522057380896,-0.033851463712943446,-0.0028704894856339536
2024-03-06,0.08409302785801807,0.005618919860593123,0.0920690401899771,-0.07847410799742495,0.00797601233195902
2024-03-07,0.03788788914331063,0.018674972769988977,0.09268824470265571,-0.01921291637332165,0.054800355559345086
2024-03-08,0.0759126501582245,-0.016582364910750262,0.07999890467218118,-0.09249501506897476,0.00408625451395668
2024-03-11,0.09382006459307526,-0.016642474867084745,0.1394546965223218,-0.11046253946016,0.04563463192924655
2024-03-12,0.14478496808113853,0.042009375100894426,0.1297607618531207,-0.10277559298024411,-0.015024206228017839
2024-03-13,0.12923396504983292,0.021594496894159834,0.12278543794125045,-0.10763946815567309,-0.006448527108582472
2024-03-14,0.07913715117528003,0.024480206788969543,0.09783306020296656,-0.05465694438631048,0.01869590902768653
2024-03-15,0.14727178576076655,0.0439462673276989,0.14145653708652314,-0.10332551843306764,-0.005815248674243406
2024-03-18,0.16951386143783095,0.12205795396983864,0.17421871269024086,-0.04745590746799232,0.004704851252409908
2024-03-19,0.17349207487665813,0.0893844641287956,0.16467482605612524,-0.08410761074786254,-0.008817248820532891
2024-03-20,0.22340939193739823,0.1114763333611083,0.23115372507190374,-0.11193305857628992,0.00774433313450551
2024-03-21,0.18211572804857212,0.0846093111566846,0.22070457125761617,-0.09750641689188752,0.038588843209044044
2024-03-22,0.21942494520259603,0.060719476002954485,0.24055528592050507,-0.15870546919964154,0.021130340717909035
2024-03-25,0.20254162028603734,0.10244475748854583,0.2466379581106084,-0.10009686279749151,0.044096337824571064
2024-03-26,0.1544239688072801,0.06421993247002207,0.17648180037736816,-0.09020403633725803,0.02205783157008806
2024-03-27,0.031825922435079965,-0.004043201032245546,0.061916712352478934,-0.035869123467325514,0.03009078991739897
2024-03-28,0.03398385284337833,-0.007283238155748223,0.0353184679775054,-0.04126709099912655,0.0013346151341270748
2024-03-29,0.05155769559613734,-0.027124823921307537,0.05517603120113726,-0.07868251951744487,0.0036183356049999185
2024-04-01,0.062375859501122774,-0.022087578986884977,0.10135213541698405,-0.08446343848800775,0.03897627591586128
2024-04-02,0.07317668924430991,-0.03449653082864602,0.13190884970556271,-0.10767322007295593,0.058732160461252805
