factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
MA_RATIO_5,-0.0033,0.137,-0.0241,-0.0857,0.4708,-0.8245,-0.4592,0.409845,0.646169,0.705606
AMOUNT_RATIO_5_20,0.0069,0.1009,0.0685,0.2431,0.512,2.3389,0.9826,0.019507,0.326007,0.992272
TURNOVER_SURGE_20,0.0098,0.091,0.1077,0.3823,0.5446,3.6776,2.0795,0.000246,0.037786,0.540353
MAX_RATIO_20,-0.0001,0.1372,-0.001,-0.0035,0.4931,-0.0338,-0.0117,0.973043,0.990692,0.652568
IS_LIMIT_DOWN_LAG1,-0.0008,0.0566,-0.015,-0.0531,0.1081,-0.5108,-0.4415,0.609559,0.658968,0.86199
ENTITY_RATIO,-0.0016,0.081,-0.0201,-0.0714,0.4846,-0.6872,-0.6789,0.492088,0.497317,0.773071
KMID,-0.0026,0.1319,-0.02,-0.0711,0.4974,-0.6843,-0.6605,0.493925,0.509075,0.478162
INTRADAY_CLOSE_LOC,-0.0006,0.1055,-0.0055,-0.0194,0.5,-0.1862,-0.1744,0.852315,0.861587,0.863688
MAX_RATIO_30,0.0012,0.1345,0.0088,0.0314,0.4768,0.3016,0.099,0.762994,0.921121,0.927619
MAX_RATIO_120,0.0064,0.1454,0.0439,0.1559,0.4931,1.5002,0.4412,0.133835,0.659145,0.954528
LOWER_SHADOW_RATIO,-0.0024,0.0837,-0.0282,-0.1,0.4923,-0.9616,-0.803,0.336444,0.422144,0.982179
UPPER_SHADOW_RATIO,0.0028,0.0871,0.0317,0.1123,0.5257,1.0808,1.0345,0.280022,0.301128,0.992272
KMID2,0.0025,0.115,0.0216,0.0766,0.5103,0.7371,0.7398,0.461223,0.459573,1.0
