factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,daily_gross_mean_return,daily_net_mean_return,annualized_return,annualized_volatility,sharpe_ratio,net_sharpe_10bps,turnover,long_turnover,short_turnover,max_drawdown,win_rate,long_only_excess_annual_return,long_only_excess_sharpe,sign_stability,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
MOM_ACC_20_60,REJECT,REJECT,0.1724,1,5D,0.0369,0.4945,0.0746,0.2648,2.1521,0.6873,0.03168,0.492065,1.0,0.4856,0.06,0.4972,0.1206,0.4282,0.5228,3.4797,1.071,0.000528,0.284498,1.0,0.5,-0.000168,-0.000229,-0.0561,0.1305,-0.3246,-0.4425,0.0387,0.0326,0.0447,-0.31,0.4994,-0.0316,-0.1816,0.5,0.2187,-0.0441,0.0026,0.9352,0.0648,0
LIMIT_UP_SPACE,REJECT,REJECT,0.1433,1,20D,0.0292,0.5062,0.0577,0.2048,1.7215,1.6648,0.085503,0.096308,1.0,0.518,0.021,0.5044,0.0416,0.1478,0.5191,1.2418,1.1147,0.214631,0.265263,1.0,0.6,0.000152,-0.000972,-0.2174,0.1347,0.2844,-1.8189,0.7508,0.7547,0.747,-0.6236,0.4763,0.0477,0.2668,0.75,0.0331,0.0023,0.0367,0.9989,0.0011,0
VSTD_10,REJECT,REJECT,0.1359,1,20D,0.027,0.5054,0.0534,0.1895,1.5855,0.7583,0.113218,0.44848,1.0,0.5034,0.0335,0.5132,0.0654,0.232,0.5374,1.9409,0.8717,0.052593,0.383593,1.0,0.5,-0.000313,-0.000655,-0.1521,0.1316,-0.5997,-1.2534,0.2231,0.2095,0.2367,-0.4567,0.4587,-0.0097,-0.0545,0.75,0.0608,-0.022,0.0324,0.9901,0.0099,0
EFFICIENCY_RATIO_10,REJECT,REJECT,0.0688,-1,5D,-0.0272,0.4991,-0.0545,-0.1935,-1.618,-0.9395,0.10602,0.34773,1.0,0.4563,-0.0226,0.4906,-0.046,-0.1633,0.4767,-1.3659,-0.7423,0.17232,0.458128,1.0,-0.7,0.00018,-0.00041,-0.0982,0.1273,0.3569,-0.8115,0.4184,0.493,0.3438,-0.4381,0.4744,0.0447,0.244,0.5,-0.0593,-0.0448,-0.0113,0.989,0.011,0
AMOUNT_RATIO_5_20,REJECT,REJECT,-0.0268,1,10D,0.025,0.495,0.0504,0.1791,1.4898,0.8009,0.136648,0.423409,1.0,0.4794,0.0151,0.505,0.03,0.1065,0.5103,0.8859,0.462,0.375903,0.64419,1.0,0.6,0.000504,-1.1e-05,-0.0028,0.1318,0.9638,-0.021,0.3414,0.3356,0.3471,-0.1712,0.508,0.0484,0.2639,0.5,0.0089,0.0155,0.0333,0.9791,0.0209,0
ROC60,REJECT,REJECT,-0.0307,1,10D,0.0257,0.5023,0.0513,0.1819,1.4776,0.4947,0.139892,0.620915,1.0,0.4934,0.0304,0.4954,0.0615,0.2182,0.5235,1.7717,0.5562,0.076813,0.578201,1.0,0.7,4.8e-05,-6.2e-05,-0.0156,0.1306,0.0935,-0.1201,0.0762,0.0833,0.069,-0.319,0.5131,-0.0136,-0.079,0.5,0.1668,0.0154,-0.0185,0.9341,0.0659,10
MAX_RATIO_120,REJECT,REJECT,-0.0316,-1,20D,-0.023,0.4991,-0.0461,-0.1638,-1.282,-0.4206,0.200242,0.67413,1.0,0.478,-0.0284,0.5181,-0.0548,-0.1945,0.4832,-1.5221,-0.4655,0.128384,0.641711,1.0,-0.7,-0.000299,-0.000456,-0.1085,0.1312,-0.5741,-0.8757,0.1096,0.1245,0.0947,-0.3589,0.4709,-0.0096,-0.0556,0.5,-0.1098,0.0071,-0.0022,0.8694,0.1306,0
MA_RATIO_5,REJECT,REJECT,-0.0482,1,20D,0.0301,0.5216,0.0578,0.2052,1.7215,0.9637,0.08551,0.335468,1.0,0.5017,0.0293,0.5187,0.0564,0.2002,0.5209,1.6797,0.9275,0.093369,0.353903,1.0,0.6,-0.000176,-0.000839,-0.1906,0.1309,-0.3396,-1.614,0.4444,0.4534,0.4355,-0.5632,0.4893,0.0235,0.1327,0.5,0.0537,0.0179,0.0268,0.9956,0.0044,4
ROC_STD_60,REJECT,REJECT,-0.0494,1,10D,0.0281,0.5068,0.0554,0.1967,1.5973,0.5339,0.110575,0.59352,1.0,0.4898,0.0313,0.5,0.0625,0.2219,0.5259,1.8019,0.5662,0.071917,0.571404,1.0,0.6,6.7e-05,-4.8e-05,-0.0121,0.1301,0.1304,-0.0938,0.0758,0.0716,0.08,-0.2839,0.5167,-0.003,-0.017,0.5,0.1849,0.007,-0.0179,0.9341,0.0659,10
WVMA_20,REJECT,REJECT,-0.0537,-1,10D,-0.0358,0.5073,-0.0705,-0.2502,-2.0589,-0.72,0.039804,0.47172,1.0,0.4361,-0.0582,0.5186,-0.1122,-0.3983,0.456,-3.2772,-1.0886,0.001091,0.276646,1.0,-0.2,0.000148,-9.3e-05,-0.0233,0.1326,0.2814,-0.1776,0.1617,0.1641,0.1594,-0.2311,0.4829,0.0476,0.2614,0.5,-0.0559,-0.1542,0.0118,0.9583,0.0417,0
