factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
ROC_STD_120,1D,0.0084,0.4842,0.62839,1.0
ROC_STD_120,3D,0.0092,0.3781,0.705446,1.0
ROC_STD_120,5D,0.0133,0.4722,0.636901,1.0
ROC_STD_120,10D,0.0339,0.8755,0.38158,1.0
ROC_STD_120,20D,0.0255,0.436,0.662951,1.0
ROC_STD_250,1D,0.0014,0.0791,0.936991,1.0
ROC_STD_250,3D,0.0107,0.4092,0.682549,1.0
ROC_STD_250,5D,0.01,0.3088,0.757565,1.0
ROC_STD_250,10D,0.021,0.4707,0.63799,1.0
ROC_STD_250,20D,0.0021,0.0335,0.97329,1.0
MOM_ACC_20_60,1D,0.0209,1.212,0.225834,1.0
MOM_ACC_20_60,3D,0.0269,1.1466,0.251859,1.0
MOM_ACC_20_60,5D,0.0368,1.2913,0.196969,1.0
MOM_ACC_20_60,10D,0.0372,0.9491,0.342867,1.0
MOM_ACC_20_60,20D,0.035,0.6473,0.517626,1.0
MOM_ACC_60_120,1D,0.007,0.4126,0.680005,1.0
MOM_ACC_60_120,3D,-0.0109,-0.4428,0.658012,1.0
MOM_ACC_60_120,5D,-0.0075,-0.2453,0.806318,1.0
MOM_ACC_60_120,10D,-0.001,-0.0254,0.979728,1.0
MOM_ACC_60_120,20D,-0.0351,-0.6484,0.516929,1.0
VMA_RATIO_5,1D,0.0038,0.2328,0.815994,1.0
VMA_RATIO_5,3D,0.0102,0.6314,0.527908,1.0
VMA_RATIO_5,5D,0.0098,0.6118,0.540851,1.0
VMA_RATIO_5,10D,-0.0013,-0.0919,0.926806,1.0
VMA_RATIO_5,20D,0.0027,0.219,0.826705,1.0
VSTD_5,1D,0.0235,1.4264,0.154103,1.0
VSTD_5,3D,0.0133,0.6734,0.500896,1.0
VSTD_5,5D,0.0037,0.166,0.868167,1.0
VSTD_5,10D,-0.0172,-0.6611,0.508734,1.0
VSTD_5,20D,0.0151,0.507,0.612283,1.0
VMA_RATIO_10,1D,0.0011,0.0675,0.94617,1.0
VMA_RATIO_10,3D,0.0257,1.5468,0.122259,1.0
VMA_RATIO_10,5D,0.025,1.5058,0.132465,1.0
VMA_RATIO_10,10D,-0.001,-0.0609,0.951426,1.0
VMA_RATIO_10,20D,0.0228,1.635,0.102403,1.0
VSTD_10,1D,0.0062,0.3798,0.704191,1.0
VSTD_10,3D,0.0082,0.3978,0.690852,1.0
VSTD_10,5D,-0.0013,-0.0547,0.956429,1.0
VSTD_10,10D,-0.008,-0.2715,0.786085,1.0
VSTD_10,20D,0.0343,0.9601,0.337281,1.0
VMA_RATIO_20,1D,-0.0112,-0.6692,0.503563,1.0
VMA_RATIO_20,3D,0.0088,0.5324,0.594589,1.0
VMA_RATIO_20,5D,0.0128,0.7298,0.465682,1.0
VMA_RATIO_20,10D,0.0005,0.0289,0.976926,1.0
VMA_RATIO_20,20D,0.0038,0.2375,0.812304,1.0
VSTD_20,1D,0.0083,0.5188,0.604043,1.0
VSTD_20,3D,0.0292,1.4105,0.158739,1.0
VSTD_20,5D,0.0299,1.2286,0.219564,1.0
VSTD_20,10D,0.0313,0.9695,0.332538,1.0
VSTD_20,20D,0.0418,1.038,0.299566,1.0
VMA_RATIO_60,1D,-0.0072,-0.4225,0.672773,1.0
VMA_RATIO_60,3D,0.0008,0.0443,0.964692,1.0
VMA_RATIO_60,5D,0.0043,0.2348,0.814417,1.0
VMA_RATIO_60,10D,-0.0072,-0.4311,0.666491,1.0
VMA_RATIO_60,20D,0.0044,0.271,0.786484,1.0
VSTD_60,1D,0.0179,1.1145,0.265399,1.0
VSTD_60,3D,0.0453,2.0366,0.042002,0.829539
VSTD_60,5D,0.0493,1.7513,0.080261,1.0
VSTD_60,10D,0.06,1.4772,0.140005,1.0
VSTD_60,20D,0.1278,2.2827,0.022703,0.811804
