,classification_rankic,regression_rankic,lambdarank_rankic,reg_minus_clf,rank_minus_clf
2024-01-05,0.01551337593145649,-0.2065026157721496,-0.11622410641675981,-0.22201599170360609,-0.1317374823482163
2024-01-08,-0.08708535712419269,-0.3038631296144919,-0.16776133063397625,-0.21677777249029923,-0.08067597350978356
2024-01-09,-0.08885616993698216,-0.2516323050589414,-0.17496573608898894,-0.16277613512195926,-0.08610956615200678
2024-01-10,-0.04286405457262887,-0.19695137480372382,-0.15686961592231263,-0.15408732023109495,-0.11400556134968376
2024-01-11,-0.02475532448235277,-0.17249679963255005,-0.15390788548688042,-0.14774147515019728,-0.12915256100452766
2024-01-12,-0.08161340542350623,-0.21262440895262497,-0.21525452434875209,-0.13101100352911874,-0.13364111892524586
2024-01-15,-0.09005718238073293,-0.24058011641904262,-0.20769428525466205,-0.15052293403830969,-0.11763710287392912
2024-01-16,-0.08122292324931171,-0.22292971238433276,-0.2379785868650666,-0.14170678913502105,-0.15675566361575488
2024-01-17,-0.13472911641668575,-0.21550256785156113,-0.2646732425784595,-0.08077345143487538,-0.12994412616177373
2024-01-18,-0.1390452127343418,-0.23127153999637223,-0.21399169226252046,-0.09222632726203042,-0.07494647952817865
2024-01-19,-0.09430125410703981,-0.15377131483657128,-0.17117291157205802,-0.05947006072953147,-0.07687165746501821
2024-01-22,0.0055092513281315356,0.052047553813066826,-0.03683537848998066,0.04653830248493529,-0.0423446298181122
2024-01-23,-0.11155578040955229,-0.125292252894932,-0.14429869015823266,-0.013736472485379722,-0.03274290974868037
2024-01-24,-0.017097109940046918,0.028165749642259708,-0.08897665215439839,0.04526285958230662,-0.07187954221435147
2024-01-25,-0.028943993585409195,0.05246598031832932,-0.031335076537575925,0.08140997390373851,-0.00239108295216673
2024-01-26,-0.04444983421864859,0.05834281505422445,-0.005983337807002136,0.10279264927287304,0.038466496411646456
2024-01-29,-0.0715959657773925,0.06628525256707933,-0.04970166905925922,0.1378812183444718,0.021894296718133276
2024-01-30,0.023422841364195236,0.18492451838458496,0.017305528660762945,0.16150167702038973,-0.006117312703432291
2024-01-31,0.0934999629548982,0.18811715653661096,0.048851994616521566,0.09461719358171276,-0.04464796833837663
2024-02-01,0.038984139504352755,0.17943221884916633,0.09121197959694069,0.14044807934481357,0.052227840092587935
2024-02-02,0.20343903262459898,0.3380681261880268,0.11941050195700238,0.1346290935634278,-0.0840285306675966
2024-02-05,0.2847046340186203,0.4157423610014513,0.21702647844462733,0.131037726982831,-0.06767815557399295
2024-02-06,0.23772198811808148,0.341341734057976,0.17559652501165302,0.10361974593989454,-0.06212546310642847
2024-02-07,0.08913893618969461,0.20938196314358565,0.09946430493629253,0.12024302695389104,0.010325368746597924
2024-02-08,0.07687170414229111,0.2076630036413563,0.09850192056628876,0.13079129949906518,0.02163021642399765
2024-02-19,0.14420183025295838,0.25026011767879863,0.1099837493635055,0.10605828742584025,-0.034218080889452884
2024-02-20,0.14326355340234265,0.2583226969029377,0.1453655702227407,0.11505914350059504,0.0021020168203980394
