date,total_equity,cash,holdings_value,num_positions,benchmark_equity,benchmark_close,strategy_return,benchmark_return,excess_return,cum_strategy_return,cum_benchmark_return,nav_strategy,nav_benchmark,drawdown_pct
2023-02-06,1338155.5291151719,200723.3293672758,1137432.199747896,8,845456.945159307,4086.878,-0.0037992383293584827,-0.0132203923477507,0.009421154018392218,33.81555291151719,-15.454305484069298,1.3381555291151719,0.845456945159307,-0.3799238329358438
2023-02-07,1332264.0663220158,199839.60994830236,1132424.4563737134,8,846978.6889668275,4094.234,-0.004402674177232378,0.0017999069216159,-0.006202581098848277,33.226406632201574,-15.302131103317251,1.3322640663220158,0.8469786889668275,-0.8185185698105009
2023-02-08,1340291.3684941893,201043.70527412838,1139247.663220061,8,843235.7701645615,4076.141,0.006025308626941012,-0.0044191416514054,0.010444450278346413,34.029136849418926,-15.676422983543858,1.3402913684941893,0.8432357701645614,-0.2209195341163934
2023-02-09,1346471.7225875235,201970.7583881285,1144500.964199395,8,854554.9292418172,4130.857,0.004611201891330451,0.0134234806892108,-0.008812278797880348,34.647172258752356,-14.54450707581828,1.3464717225875236,0.8545549292418172,0.0
2023-02-10,1350593.193067328,202588.9789600992,1148004.214107229,8,849476.8643637305,4106.31,0.0030609409842519506,-0.0059423504614175,0.00900329144566945,35.0593193067328,-15.052313563626951,1.350593193067328,0.8494768643637305,0.0
2023-02-13,1355068.2811828693,203260.2421774304,1151808.0390054388,8,857185.7090134645,4143.574,0.0033134241594819985,0.0090748141275254,-0.005761389968043402,35.50682811828694,-14.281429098653554,1.3550682811828694,0.8571857090134645,0.0
2023-02-14,1355054.5565172178,203258.18347758267,1151796.3730396351,8,857540.6998201129,4145.29,-1.0128394149653002e-05,0.0004141352368753,-0.000424263631024953,35.50545565172178,-14.245930017988705,1.3550545565172178,0.8575406998201129,-0.001012839414966312
2023-02-15,1350136.5333885546,202520.4800082832,1147616.0533802714,8,853072.0772009924,4123.689,-0.003629391233740141,-0.0052109743829744,0.0015815831492342588,35.01365333885546,-14.692792279900758,1.3501365333885547,0.8530720772009924,-0.36394828679848357
2023-02-16,1350380.6585707709,202557.0987856156,1147823.559785155,8,846824.3631266413,4093.488,0.00018081518141239582,-0.00732378217659,0.007504597358002395,35.03806585707709,-15.317563687335877,1.350380658570771,0.8468243631266412,-0.34593257603273686
2023-02-17,1346563.5636224388,201984.53454336582,1144579.0290790729,8,834622.8988102509,4034.507,-0.002826680702293339,-0.0144084946627423,0.01158181396044896,34.65635636224389,-16.537710118974914,1.346563563622439,0.8346228988102509,-0.6276228053250952
2023-02-20,1355509.0673663386,203326.36010495079,1152182.7072613877,8,855099.620846657,4133.49,0.006643209415109252,0.0245341004489518,-0.017890891033842546,35.550906736633856,-14.490037915334309,1.3555090673663386,0.8550996208466569,0.0
2023-02-21,1355071.2107787135,203260.681616807,1151810.5291619063,8,857347.068471032,4144.354,-0.0003230200359159363,0.0026282874762004,-0.002951307512116336,35.50712107787135,-14.265293152896808,1.3550712107787135,0.8573470684710319,-0.03230200359159525
