order_id,parent_order_id,symbol,side,signal_date,execution_date,requested_shares,cumulative_filled_shares,remaining_shares,cancelled_shares,filled_shares,signal_price,execution_price,commission,stamp_tax,transfer_fee,slippage,total_cost,status,reason,reject_reason
ORD_000455,,600674.SH,BUY,2024-01-19,2024-01-22,2300,2300,0,0,2300,14.55,14.49,8.33,0.0,0.33,23.0,31.66,FILLED,Top-K目标建仓/加仓,
ORD_000456,,601211.SH,BUY,2024-01-19,2024-01-22,1900,1900,0,0,1900,14.37,14.34,6.81,0.0,0.27,19.0,26.08,FILLED,Top-K目标建仓/加仓,
ORD_000457,,000538.SZ,BUY,2024-01-19,2024-01-22,700,700,0,0,700,48.22,48.23,8.44,0.0,0.34,35.0,43.78,FILLED,Top-K目标建仓/加仓,
ORD_000458,,600918.SH,BUY,2024-01-19,2024-01-22,4200,4200,0,0,4200,6.51,6.5,6.83,0.0,0.27,42.0,49.1,FILLED,Top-K目标建仓/加仓,
ORD_000459,,601066.SH,BUY,2024-01-19,2024-01-22,1200,1200,0,0,1200,21.3,21.33,6.4,0.0,0.26,24.0,30.66,FILLED,Top-K目标建仓/加仓,
ORD_000454,,601018.SH,BUY,2024-01-19,2024-01-23,9800,9800,0,0,300,3.5,3.34,5.0,0.0,0.01,0.0,5.01,FILLED,Top-K目标建仓/加仓,
ORD_000460,,600918.SH,SELL,2024-01-31,2024-02-01,4200,4200,0,0,4200,6.53,6.49,6.81,13.63,0.27,42.0,62.71,FILLED,"触发跟踪止盈 (最高浮盈: 6.00%, 自高点回撤: 5.22%)",
ORD_000461,,601018.SH,SELL,2024-02-01,2024-02-02,9800,9800,0,0,9800,3.54,3.53,8.65,17.3,0.35,0.0,26.3,FILLED,"触发跟踪止盈 (最高浮盈: 7.02%, 自高点回撤: 5.09%)",
ORD_000462,,600219.SH,SELL,2024-02-02,2024-02-05,12000,12000,0,0,12000,2.83,2.83,8.49,16.98,0.34,0.0,25.81,FILLED,"触发跟踪止盈 (最高浮盈: 5.26%, 自高点回撤: 5.67%)",
ORD_000463,,601211.SH,SELL,2024-02-02,2024-02-05,1900,1900,0,0,1900,14.34,14.19,6.74,13.48,0.27,19.0,39.49,FILLED,"触发跟踪止盈 (最高浮盈: 6.21%, 自高点回撤: 5.84%)",
ORD_000464,,601066.SH,SELL,2024-02-02,2024-02-05,1200,1200,0,0,1200,21.73,21.35,6.41,12.81,0.26,24.0,43.48,FILLED,"触发跟踪止盈 (最高浮盈: 8.25%, 自高点回撤: 5.89%)",
ORD_000465,,000538.SZ,SELL,2024-02-26,2024-02-27,700,700,0,0,700,49.46,49.52,8.67,17.33,0.35,35.0,61.35,FILLED,调仓剔除(掉出Top-K),
ORD_000466,,600674.SH,SELL,2024-02-26,2024-02-27,2300,2300,0,0,2300,15.67,15.6,8.97,17.94,0.36,46.0,73.27,FILLED,调仓剔除(掉出Top-K),
ORD_000475,,002027.SZ,SELL,2024-02-26,2024-02-27,1100,1100,0,0,1100,6.32,6.29,5.0,3.46,0.07,11.0,19.53,FILLED,Top-K目标再平衡减仓,
ORD_000467,,601878.SH,BUY,2024-02-26,2024-02-27,2700,2700,0,0,2700,10.07,10.04,6.78,0.0,0.27,27.0,34.05,FILLED,Top-K目标建仓/加仓,
ORD_000468,,601066.SH,BUY,2024-02-26,2024-02-27,1200,1200,0,0,1200,23.03,22.98,6.89,0.0,0.28,24.0,31.17,FILLED,Top-K目标建仓/加仓,
ORD_000469,,600219.SH,BUY,2024-02-26,2024-02-27,10100,10100,0,0,10100,3.02,3.03,7.65,0.0,0.31,0.0,7.96,FILLED,Top-K目标建仓/加仓,
