model_id,fold,feature,importance,importance_pct
lightgbm_clf_baseline,3,MOM_ACC_60_120,2278.4065046310425,3.5213118829497514
lightgbm_clf_baseline,3,VSTD_60,2277.730888366699,3.520267707744357
lightgbm_clf_baseline,3,STD120,1798.3831949234009,2.779428561808114
lightgbm_clf_baseline,3,MAX_RATIO_250,1599.604398727417,2.4722129110010096
lightgbm_clf_baseline,3,MAX_RATIO_120,1595.3411092758179,2.465623932354813
lightgbm_clf_baseline,4,AMIHUD_20_LN,1634.3192043304443,25.9151498510385
lightgbm_clf_baseline,4,STD250,561.2392959594727,8.899485742162456
lightgbm_clf_baseline,4,MIN_RATIO_120,540.4881038665771,8.570437260537725
lightgbm_clf_baseline,4,ROC120,487.9724884033203,7.737705172067056
lightgbm_clf_baseline,4,MA_RATIO_120,429.94460105895996,6.81756583081495
lightgbm_clf_baseline,4,LOG_CIRC_MV,382.4991035461426,6.0652298278212955
lightgbm_clf_baseline,4,ROC250,262.2760009765625,4.158870464000533
lightgbm_clf_baseline,4,VSTD_60,221.91329956054688,3.51884527625436
lightgbm_clf_baseline,4,MOM_ACC_20_60,156.0369997024536,2.474254857240197
lightgbm_clf_baseline,4,MIN_RATIO_30,144.81940078735352,2.2963791056224068
lightgbm_clf_baseline,5,AMIHUD_20,12274.444868564606,14.504326061096053
lightgbm_clf_baseline,5,STD250,11696.397221565247,13.821265308393475
lightgbm_clf_baseline,5,LOG_CIRC_MV,4810.670172691345,5.6846178792006095
lightgbm_clf_baseline,5,MIN_RATIO_250,3785.9986724853516,4.473795743972087
lightgbm_clf_baseline,5,ATR_RATIO_60,3047.9690856933594,3.601689356742954
lightgbm_clf_baseline,5,MIN_RATIO_120,2897.434688091278,3.4238075861528197
lightgbm_clf_baseline,5,MOM_ACC_60_120,2624.4582982063293,3.101239958185202
lightgbm_clf_baseline,5,AMIHUD_20_LN,2607.0291719436646,3.08064450698715
lightgbm_clf_baseline,5,STD120,2265.2675218582153,2.67679549702396
lightgbm_clf_baseline,5,MIN_RATIO_30,2138.8891100883484,2.5274580963494833
lightgbm_clf_baseline,6,STD250,1578.147307395935,23.54275785430663
lightgbm_clf_baseline,6,AMIHUD_20_LN,1095.764811515808,16.346589131374685
lightgbm_clf_baseline,6,MIN_RATIO_250,558.1099872589111,8.325869343456795
lightgbm_clf_baseline,6,LOG_CIRC_MV,539.5519046783447,8.049020381140702
lightgbm_clf_baseline,6,MIN_RATIO_120,374.28539085388184,5.583579101888438
lightgbm_clf_baseline,6,MIN_RATIO_30,245.9053020477295,3.668408490176117
lightgbm_clf_baseline,6,STD60,227.59010314941406,3.3951828599097005
lightgbm_clf_baseline,6,ROC_STD_250,164.60779571533203,2.4556145407311902
lightgbm_clf_baseline,6,MA_RATIO_120,160.04380226135254,2.3875290126996034
lightgbm_clf_baseline,6,ATR_RATIO_60,156.75550365447998,2.338474265090525
lightgbm_clf_baseline,7,STD250,5228.134584903717,15.972358878271395
lightgbm_clf_baseline,7,AMIHUD_20,3092.2136249542236,9.446953773658247
lightgbm_clf_baseline,7,LOG_CIRC_MV,2465.7831144332886,7.533159711196598
lightgbm_clf_baseline,7,MIN_RATIO_250,2420.533435821533,7.394918414195498
lightgbm_clf_baseline,7,MIN_RATIO_120,2183.3122053146362,6.670189055058106
lightgbm_clf_baseline,7,ATR_RATIO_20,1218.0023393630981,3.721092133904925
lightgbm_clf_baseline,7,AMIHUD_20_LN,1146.3951892852783,3.5023267060607903
lightgbm_clf_baseline,7,WVMA_20,1129.2807536125183,3.450040770393844
lightgbm_clf_baseline,7,MAX_RATIO_60,996.3982453346252,3.0440743446273837
lightgbm_clf_baseline,7,MA_RATIO_250,820.6658926010132,2.5071983023600213
lightgbm_clf_baseline,8,STD250,3272.6893949508667,11.92341083733089
lightgbm_clf_baseline,8,ATR_RATIO_60,2544.908944606781,9.271883527034303
lightgbm_clf_baseline,8,MIN_RATIO_250,2361.5573902130127,8.603877600754538
lightgbm_clf_baseline,8,LOG_CIRC_MV,2236.106301307678,8.146820821911865
lightgbm_clf_baseline,8,AMIHUD_20,2212.565287590027,8.061053691515728
lightgbm_clf_baseline,8,ATR_RATIO_20,1210.1697263717651,4.409019338252077
lightgbm_clf_baseline,8,STD120,1142.3280692100525,4.161851381686313
lightgbm_clf_baseline,8,AMIHUD_20_LN,1130.3585033416748,4.118242583487087
lightgbm_clf_baseline,8,ROC250,773.3691558837891,2.8176209415866826
lightgbm_clf_baseline,8,ROC_STD_250,684.8332071304321,2.495057336104349
lightgbm_clf_baseline,9,STD250,777.7840023040771,21.184460138895094
lightgbm_clf_baseline,9,AMIHUD_20_LN,421.7917947769165,11.48831994087643
lightgbm_clf_baseline,9,LOG_CIRC_MV,367.20630645751953,10.001577994476374
lightgbm_clf_baseline,9,MIN_RATIO_250,310.8294982910156,8.466045967816719
lightgbm_clf_baseline,9,ROC_STD_250,252.13169860839844,6.867297222749177
lightgbm_clf_baseline,9,STD120,249.93109512329102,6.807359506527616
lightgbm_clf_baseline,9,MAX_RATIO_120,176.1368007659912,4.79742836541508
lightgbm_clf_baseline,9,STD30,161.96249771118164,4.4113636518548764
lightgbm_clf_baseline,9,MIN_RATIO_30,132.427001953125,3.6069069765883173
lightgbm_clf_baseline,9,VSTD_60,111.56620216369629,3.03872251882693
lightgbm_clf_baseline,10,STD250,737.9655685424805,23.24247748576297
lightgbm_clf_baseline,10,LOG_CIRC_MV,401.2295951843262,12.636863060036752
lightgbm_clf_baseline,10,ROC250,235.17300415039062,7.40685404201219
lightgbm_clf_baseline,10,AMIHUD_20_LN,227.8560085296631,7.176402767281212
lightgbm_clf_baseline,10,LIMIT_UP_SPACE,160.12399291992188,5.04315981533157
lightgbm_clf_baseline,10,TURNOVER_STD_20,151.7519989013672,4.779481005937365
lightgbm_clf_baseline,10,MAX_RATIO_120,149.64341068267822,4.713070300223251
lightgbm_clf_baseline,10,VSTD_60,128.51769828796387,4.047708777090635
lightgbm_clf_baseline,10,MAX_RATIO_60,126.94140243530273,3.9980628011425456
lightgbm_clf_baseline,10,ROC_STD_250,124.17300033569336,3.9108710320214013
lightgbm_clf_baseline,11,ATR_RATIO_60,6840.30593419075,9.929166703181497
lightgbm_clf_baseline,11,LOG_CIRC_MV,4981.508021831512,7.230995814787729
lightgbm_clf_baseline,11,AMIHUD_20,4940.603096961975,7.171619549761243
lightgbm_clf_baseline,11,MIN_RATIO_250,4825.184229135513,7.004081256830053
lightgbm_clf_baseline,11,STD250,4424.71905708313,6.422778974391015
lightgbm_clf_baseline,11,ATR_RATIO_20,2906.824686050415,4.219452633025013
lightgbm_clf_baseline,11,STD60,2876.307285308838,4.175154561823794
lightgbm_clf_baseline,11,MAX_RATIO_250,2396.1426162719727,3.4781630690874312
lightgbm_clf_baseline,11,ROC_STD_250,2317.613055229187,3.364172099937346
lightgbm_clf_baseline,11,MOM_ACC_20_60,2254.24382352829,3.27218737418616
lightgbm_clf_baseline,12,LOG_CIRC_MV,20641.106793619692,9.440608399951818
lightgbm_clf_baseline,12,AMIHUD_20,16366.126239735633,7.4853635707790165
lightgbm_clf_baseline,12,STD250,15122.998867154121,6.916795284536212
lightgbm_clf_baseline,12,ATR_RATIO_60,14295.429437389597,6.538290440377696
lightgbm_clf_baseline,12,ROC_STD_250,10059.464370846748,4.600890097026529
lightgbm_clf_baseline,12,MIN_RATIO_250,8089.054492473602,3.6996851260378842
lightgbm_clf_baseline,12,STD120,7662.850883722305,3.504752683262528
lightgbm_clf_baseline,12,MAX_RATIO_250,7098.793162867427,3.2467700028373563
lightgbm_clf_baseline,12,MOM_ACC_60_120,7060.608662366867,3.229305584878675
lightgbm_clf_baseline,12,STD60,6392.623425930738,2.923789650234511
lightgbm_clf_baseline,13,LOG_CIRC_MV,509.3764934539795,18.261934103579723
lightgbm_clf_baseline,13,STD60,487.0670051574707,17.462104487586195
lightgbm_clf_baseline,13,AMIHUD_20_LN,276.3175964355469,9.906412648822771
lightgbm_clf_baseline,13,STD250,206.00749969482422,7.385687075506936
lightgbm_clf_baseline,13,VSTD_60,132.25239944458008,4.741452805017256
lightgbm_clf_baseline,13,MAX_RATIO_120,116.17849922180176,4.165178653327502
lightgbm_clf_baseline,13,STD120,113.62280082702637,4.073552918190925
