rank_ic,date
-0.07781500304443668,2022-11-22
-0.1275976737347476,2022-11-23
-0.1379334278825571,2022-11-24
-0.14704308226118742,2022-11-25
-0.09059448940495388,2022-11-28
-0.10433417255816092,2022-11-29
-0.0405113683975346,2022-11-30
-0.13065919843376944,2022-12-01
-0.17703377263576622,2022-12-02
-0.07868257427205684,2022-12-05
-0.1203458177778307,2022-12-06
-0.15267459314916942,2022-12-07
-0.07109091035494224,2022-12-08
-0.07215075967380827,2022-12-09
-0.11110014319471184,2022-12-12
-0.13294311975164733,2022-12-13
-0.1556266518513881,2022-12-14
-0.18085448638313284,2022-12-15
-0.011951045943587752,2022-12-16
-0.005193619507886853,2022-12-19
0.023637186497996465,2022-12-20
0.08949791992239056,2022-12-21
0.06636630741028327,2022-12-28
0.08934618305340719,2022-12-29
0.03845423679010754,2022-12-30
0.20218192963309184,2023-01-04
0.21617783366111135,2023-01-05
0.16497547749021202,2023-01-06
0.16890294755943008,2023-01-09
0.12455161872496726,2023-01-10
0.09827726623244398,2023-01-12
0.21974096209248786,2023-01-13
0.1740356532967286,2023-01-16
0.13199512288311127,2023-01-17
0.11810350802706113,2023-01-18
0.17466247271675875,2023-01-19
0.20867795401897823,2023-01-20
0.09963707088678103,2023-01-30
0.056478411039264736,2023-01-31
-0.05607804383066789,2023-02-13
0.001480582478179862,2023-02-14
0.09656031385578683,2023-02-15
-0.00659395896260653,2023-02-16
-0.08593420952485571,2023-02-17
-0.14077096334089365,2023-02-20
-0.09802795184569098,2023-02-21
-0.10162093905978595,2023-02-22
-0.1415846382174385,2023-02-23
-0.09276203975694423,2023-02-24
-0.12469127663833854,2023-02-27
-0.10666617221751722,2023-02-28
-0.1708559233938648,2023-03-01
-0.010752949606525439,2023-03-02
0.13799050405951932,2023-03-03
0.06767800395667357,2023-03-06
0.06773553562807186,2023-03-07
0.0527576483051238,2023-03-08
0.052502202662220575,2023-03-09
0.02639797235889119,2023-03-10
0.026703448875656267,2023-03-13
0.007655545780549643,2023-03-14
0.03089102921938989,2023-03-15
-0.017974143193402205,2023-03-16
0.03115823537005888,2023-03-17
-0.0027340204084406344,2023-03-20
0.02274568083787466,2023-03-21
0.04252468092772622,2023-03-22
0.10482611124873016,2023-03-23
0.08128460199447372,2023-03-24
0.001914884873412016,2023-03-29
-0.04724796696366075,2023-03-30
-0.008088062506580172,2023-03-31
-0.036800907670731194,2023-04-03
-0.01755842319768273,2023-04-04
-0.0288183741440788,2023-04-06
0.021587827405415785,2023-04-07
-0.017663888900461274,2023-04-10
-0.07523242596845935,2023-04-11
-0.07413238406995033,2023-04-12
-0.06572550303812545,2023-04-13
-0.07633445926053549,2023-04-14
-0.10490634318585085,2023-04-17
-0.04767206609223599,2023-04-18
-0.00829366391419608,2023-04-19
0.026296068699366775,2023-04-20
0.00406444493581483,2023-04-21
-0.004720330656368173,2023-04-24
0.0688819249985107,2023-04-25
-0.01593334850398172,2023-04-26
-0.09044287935391966,2023-04-27
-0.010925548852335435,2023-04-28
0.03953080824579553,2023-05-04
0.04080618159985823,2023-05-08
0.021606438300190243,2023-05-09
0.03886521130976797,2023-05-10
-0.026246906512274078,2023-05-11
0.014526115377601227,2023-05-12
0.011545646914947425,2023-05-15
0.034845417441682354,2023-05-16
0.008993144331985904,2023-05-17
0.1167676214388266,2023-05-18
0.02179803337294189,2023-05-19
-0.039681817463029845,2023-05-22
-0.02974517606223581,2023-05-23
-0.0071265381978936745,2023-05-24
0.014236843812799093,2023-05-25
0.023231523789799167,2023-05-26
0.09932225759114718,2023-05-29
0.0033633196886482,2023-05-30
0.0804547843009757,2023-05-31
0.1482136790178431,2023-06-01
0.026561262531666182,2023-06-02
0.10432242003116643,2023-06-05
0.032967401260675176,2023-06-06
0.0023813696636529754,2023-06-07
0.10081841769297376,2023-06-08
0.21749993362621153,2023-06-09
0.22864042035050328,2023-06-12
0.15800839542773046,2023-06-13
0.11771751795204821,2023-06-14
0.06408442745820819,2023-06-15
0.09957400156036414,2023-06-16
0.23643191889437284,2023-06-19
0.22867107962279223,2023-06-20
0.22720253123687503,2023-06-21
0.21008820576580362,2023-06-26
0.16254975221025025,2023-06-27
0.14546473106930238,2023-06-28
0.18966703127670356,2023-06-29
0.16371297683688674,2023-06-30
0.13751669329808328,2023-07-03
0.16279734604153018,2023-07-04
0.12155103696816234,2023-07-05
0.19572579408879195,2023-07-06
0.1080672579800017,2023-07-07
0.08526406779247578,2023-07-10
0.13233319094353166,2023-07-11
0.12735205323643292,2023-07-12
0.12340814567852193,2023-07-13
0.19346305437070688,2023-07-14
0.09200013822364238,2023-07-17
0.092394735591862,2023-07-18
0.08545069081754432,2023-07-19
0.09833569417802863,2023-07-20
0.07877480730195217,2023-07-21
0.05910658253934066,2023-07-24
-0.02599012620016839,2023-07-25
0.030438634875816224,2023-07-26
0.03358396075212774,2023-07-27
0.10101636689219061,2023-07-28
0.1357976108737617,2023-07-31
0.0472049618551568,2023-08-01
0.017461855564537977,2023-08-02
0.05963391955758598,2023-08-03
0.025113993749938373,2023-08-04
-0.02736989732827467,2023-08-07
-0.030307911209190287,2023-08-08
0.02116851959928014,2023-08-09
0.07224980491676354,2023-08-10
0.0638297745437072,2023-08-11
0.04860221552784225,2023-08-14
-0.008662879588962826,2023-08-15
0.05630129141579698,2023-08-16
0.09740258467838923,2023-08-17
0.06170461359914865,2023-08-18
0.09990171004502826,2023-08-21
0.05900459266108611,2023-08-22
0.05888329409910248,2023-08-23
0.11051418248259176,2023-08-24
0.014984316891082558,2023-08-25
0.10002101830217701,2023-08-28
0.05508348756366846,2023-08-29
0.05907633101908332,2023-08-30
0.06396000232055535,2023-08-31
-0.035461240171951826,2023-09-01
-0.0716579192677397,2023-09-04
0.020662314090138603,2023-09-05
-0.0026783762742494037,2023-09-06
0.0158960250384131,2023-09-07
-0.013185626756530022,2023-09-08
0.013122596349701445,2023-09-11
-0.024904153178452026,2023-09-12
-0.010516612689184563,2023-09-13
-0.0366694277755268,2023-09-14
-0.03895544587671651,2023-09-15
-0.0578511389949528,2023-09-18
0.011797181369118562,2023-09-19
0.08089069643402509,2023-09-20
0.09945745585142472,2023-09-21
0.036386425089386394,2023-09-22
0.04566474000872323,2023-09-25
0.036548253436310386,2023-09-26
0.04687789850006291,2023-09-27
0.01408370033535266,2023-09-28
-0.022901303054461187,2023-10-09
-0.05432018512888672,2023-10-10
0.030371405918152267,2023-10-11
-0.003993261620228748,2023-10-12
-0.04788990057668058,2023-10-13
-0.03284465810786189,2023-10-16
-0.016303766066877626,2023-10-17
-0.06313934633337082,2023-10-18
-0.0805466572442574,2023-10-19
-0.030325844135561313,2023-10-20
-0.019768049877839183,2023-10-23
0.0050215749758600456,2023-10-24
0.01936926665498733,2023-10-25
0.12484792783713163,2023-10-26
0.11326713429673146,2023-10-27
0.1632157601547486,2023-10-30
0.15223070146732973,2023-10-31
0.12226109750987563,2023-11-01
0.09539943568605848,2023-11-02
0.11650706086988279,2023-11-03
0.14581114345569968,2023-11-06
0.181223073826927,2023-11-07
0.1388411511437086,2023-11-08
0.1479700122133846,2023-11-09
0.16918988092387238,2023-11-10
0.18498518128778652,2023-11-13
0.1785595526099039,2023-11-14
0.15999953547044715,2023-11-15
0.17240812523127133,2023-11-16
0.21028147328826863,2023-11-17
0.11983651969969221,2023-11-20
0.10123319522974039,2023-11-21
0.16432741284962193,2023-11-22
-0.0876722564804986,2023-11-23
-0.14554237860005226,2023-11-27
-0.020571870082450705,2023-11-28
-0.038302195022006595,2023-11-29
-0.08915729947334936,2023-11-30
-0.04597751995232507,2023-12-01
-0.020663451500291224,2023-12-04
0.14588518203695072,2023-12-05
0.14250234795644495,2023-12-06
0.12135924193262008,2023-12-07
0.11656365365712645,2023-12-08
0.14841029016450957,2023-12-12
0.09657010384708653,2023-12-13
0.14678084855112655,2023-12-14
0.16416736005818508,2023-12-15
0.19329555916818975,2023-12-18
0.26375753309458366,2023-12-19
0.14944971496143733,2023-12-20
0.12765349285494088,2023-12-21
0.021740563004151232,2023-12-22
0.04609668163514685,2023-12-25
0.14977972475109894,2023-12-26
0.13241705822559247,2023-12-27
0.18247151362822175,2023-12-28
0.2256968843664096,2023-12-29
0.18223619155713988,2024-01-02
0.13947488472497702,2024-01-03
0.08297041444570968,2024-01-04
0.010996308332644023,2024-01-05
-0.05823285920036029,2024-01-08
0.0629302238452765,2024-01-09
0.06521094717726623,2024-01-10
0.05678971319797616,2024-01-11
-0.014915634013765253,2024-01-12
0.021169270426543416,2024-01-15
-0.012221316091500572,2024-01-16
0.011681464189206393,2024-01-17
0.015219179937998878,2024-01-18
0.17436236803871707,2024-01-19
0.25292613054497487,2024-01-22
0.1934146180945742,2024-01-23
0.2024434319346745,2024-01-24
0.1341930262098466,2024-01-25
0.03348701027304078,2024-01-26
0.04716318380558293,2024-01-29
0.06366439190000997,2024-01-30
0.031097243760286643,2024-01-31
-0.010605420676696783,2024-02-01
-0.06355433889874731,2024-02-02
0.008436569125927268,2024-02-05
-0.07841896163836784,2024-02-06
-0.014203387370012229,2024-02-07
-0.03522377983134291,2024-02-08
-0.08974538787585173,2024-02-19
-0.1450936416671188,2024-02-20
-0.134950741520682,2024-02-21
-0.19169877476750605,2024-02-22
-0.17456349892791745,2024-02-23
-0.0688390974194583,2024-02-26
0.008331350672539446,2024-02-27
0.04203891085450322,2024-02-28
0.0592313113674489,2024-02-29
0.0853947509024644,2024-03-01
0.06860597199518549,2024-03-04
0.05534942086815868,2024-03-05
0.12018262028225768,2024-03-06
0.1358488568839124,2024-03-07
0.06322168829283038,2024-03-08
0.10998948062261862,2024-03-11
