model_id,fold,rank,feature
lightgbm_clf_baseline,3,16,MAX_RATIO_20
lightgbm_clf_baseline,3,17,MIN_RATIO_20
lightgbm_clf_baseline,3,18,MA_RATIO_20
lightgbm_clf_baseline,3,19,ROC30
lightgbm_clf_baseline,3,20,MAX_RATIO_30
lightgbm_clf_baseline,3,21,MIN_RATIO_30
lightgbm_clf_baseline,3,22,MA_RATIO_30
lightgbm_clf_baseline,3,23,ROC60
lightgbm_clf_baseline,3,24,MAX_RATIO_60
lightgbm_clf_baseline,3,25,MIN_RATIO_60
lightgbm_clf_baseline,3,26,MA_RATIO_60
lightgbm_clf_baseline,3,27,ROC120
lightgbm_clf_baseline,3,28,MAX_RATIO_120
lightgbm_clf_baseline,3,29,MIN_RATIO_120
lightgbm_clf_baseline,3,30,MA_RATIO_120
lightgbm_clf_baseline,3,31,ROC250
lightgbm_clf_baseline,3,32,MAX_RATIO_250
lightgbm_clf_baseline,3,33,MIN_RATIO_250
lightgbm_clf_baseline,3,34,MA_RATIO_250
lightgbm_clf_baseline,3,35,STD5
lightgbm_clf_baseline,3,36,STD10
lightgbm_clf_baseline,3,37,STD20
lightgbm_clf_baseline,3,38,STD30
lightgbm_clf_baseline,3,39,STD60
lightgbm_clf_baseline,3,40,STD120
lightgbm_clf_baseline,3,41,STD250
lightgbm_clf_baseline,3,42,ATR_RATIO_5
lightgbm_clf_baseline,3,43,ATR_RATIO_20
lightgbm_clf_baseline,3,44,ATR_RATIO_60
lightgbm_clf_baseline,3,45,ROC_STD_20
lightgbm_clf_baseline,3,46,ROC_STD_60
lightgbm_clf_baseline,3,47,ROC_STD_120
lightgbm_clf_baseline,3,48,ROC_STD_250
lightgbm_clf_baseline,3,49,MOM_ACC_20_60
lightgbm_clf_baseline,3,50,MOM_ACC_60_120
lightgbm_clf_baseline,3,51,VMA_RATIO_5
lightgbm_clf_baseline,3,52,VSTD_5
lightgbm_clf_baseline,3,53,VMA_RATIO_10
lightgbm_clf_baseline,3,54,VSTD_10
lightgbm_clf_baseline,3,55,VMA_RATIO_20
lightgbm_clf_baseline,3,56,VSTD_20
lightgbm_clf_baseline,3,57,VMA_RATIO_60
lightgbm_clf_baseline,3,58,VSTD_60
lightgbm_clf_baseline,3,59,CORR_PV_5
lightgbm_clf_baseline,3,60,WVMA_5
lightgbm_clf_baseline,3,61,CORR_PV_10
lightgbm_clf_baseline,3,62,WVMA_10
lightgbm_clf_baseline,3,63,CORR_PV_20
lightgbm_clf_baseline,3,64,WVMA_20
lightgbm_clf_baseline,3,65,TURNOVER_SURGE_5
lightgbm_clf_baseline,3,66,TURNOVER_SURGE_20
lightgbm_clf_baseline,3,67,TURNOVER_STD_20
lightgbm_clf_baseline,3,68,AMOUNT_RATIO_5_20
lightgbm_clf_baseline,3,69,LIMIT_UP_SPACE
lightgbm_clf_baseline,3,70,IS_LIMIT_UP_LAG1
lightgbm_clf_baseline,3,71,IS_LIMIT_DOWN_LAG1
lightgbm_clf_baseline,3,72,UPPER_SHADOW_RATIO
lightgbm_clf_baseline,3,73,LOWER_SHADOW_RATIO
lightgbm_clf_baseline,3,74,ENTITY_RATIO
lightgbm_clf_baseline,3,75,INTRADAY_CLOSE_LOC
lightgbm_clf_baseline,3,76,LOG_CIRC_MV
lightgbm_clf_baseline,3,77,EFFICIENCY_RATIO_10
lightgbm_clf_baseline,3,78,AMIHUD_20
lightgbm_clf_baseline,3,79,AMIHUD_20_LN
lightgbm_clf_baseline,4,1,KMID
lightgbm_clf_baseline,4,2,KLEN
lightgbm_clf_baseline,4,3,KMID2
lightgbm_clf_baseline,4,4,KUP
lightgbm_clf_baseline,4,5,KLOW
lightgbm_clf_baseline,4,6,KSFT
lightgbm_clf_baseline,4,7,ROC5
lightgbm_clf_baseline,4,8,MAX_RATIO_5
lightgbm_clf_baseline,4,9,MIN_RATIO_5
lightgbm_clf_baseline,4,10,MA_RATIO_5
lightgbm_clf_baseline,4,11,ROC10
lightgbm_clf_baseline,4,12,MAX_RATIO_10
lightgbm_clf_baseline,4,13,MIN_RATIO_10
lightgbm_clf_baseline,4,14,MA_RATIO_10
lightgbm_clf_baseline,4,15,ROC20
lightgbm_clf_baseline,4,16,MAX_RATIO_20
lightgbm_clf_baseline,4,17,MIN_RATIO_20
lightgbm_clf_baseline,4,18,MA_RATIO_20
lightgbm_clf_baseline,4,19,ROC30
lightgbm_clf_baseline,4,20,MAX_RATIO_30
lightgbm_clf_baseline,4,21,MIN_RATIO_30
lightgbm_clf_baseline,4,22,MA_RATIO_30
lightgbm_clf_baseline,4,23,ROC60
lightgbm_clf_baseline,4,24,MAX_RATIO_60
lightgbm_clf_baseline,4,25,MIN_RATIO_60
lightgbm_clf_baseline,4,26,MA_RATIO_60
lightgbm_clf_baseline,4,27,ROC120
lightgbm_clf_baseline,4,28,MAX_RATIO_120
lightgbm_clf_baseline,4,29,MIN_RATIO_120
lightgbm_clf_baseline,4,30,MA_RATIO_120
lightgbm_clf_baseline,4,31,ROC250
lightgbm_clf_baseline,4,32,MAX_RATIO_250
lightgbm_clf_baseline,4,33,MIN_RATIO_250
lightgbm_clf_baseline,4,34,MA_RATIO_250
