fold,fold_id,candidate_model_id,baseline_model_id,test_start,test_end,test_dates_count,candidate_oos_rows,baseline_oos_rows,candidate_prediction_sha256,baseline_prediction_sha256,candidate_backtest_run_id,baseline_backtest_run_id,candidate_equity_sha256,baseline_equity_sha256,candidate_orders_sha256,baseline_orders_sha256,candidate_strategy_return,candidate_benchmark_return,candidate_excess_return,candidate_max_drawdown,candidate_sharpe,candidate_turnover,candidate_trade_count,candidate_transaction_cost,baseline_strategy_return,baseline_benchmark_return,baseline_excess_return,baseline_max_drawdown,baseline_sharpe,baseline_turnover,baseline_trade_count,baseline_transaction_cost,candidate_minus_baseline_excess,candidate_minus_baseline,engine_config_hash,dataset_sha256,source_code_sha,candidate_won
11,11,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-02-27,2025-04-24,40,11897,11897,2929cfec0a8fb09f610e3995f33dfe84dbf98195b85aec61ed6d336da97555c4,f5dc4955f088f5be4fe8303ca72abecbe2c4b0748a6db719e04cb9e66fee4a5c,research_3ebbb9f_20260831_155027:candidate:11,research_3ebbb9f_20260831_155027:baseline:11,52c9b6e5cc015f446a295d247dd7d8f2a1b069f9bd0a6efb65d9d6621a28370b,3235d58cefd856f6b87c6411ab41a0a83ca5432db6ca62fd33cc9d73a896abdd,933cd209278d714d7f8355ea5ee1555e5806dd63f7eed68468c552e8e5ee2248,4aaa87f12ebe1573a63aa7f15395255858352079806421806049688162011aab,-11.23,-4.63,-6.6,-13.21,-2.67,0.0,32,5104.49,-0.18,-4.63,4.45,-3.99,-0.24,0.0,26,2135.8,-11.05,-11.05,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
12,12,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-04-25,2025-06-25,40,11900,11900,756353d58f4580552daa03d2428cc76711dea00b880074e676c3e1436e220197,1798478767c833cd74eed46df5d59aee4b490391d3300d14dabe22bcb4d1b3fd,research_3ebbb9f_20260831_155027:candidate:12,research_3ebbb9f_20260831_155027:baseline:12,e89e513f6223ba88cf69a3267c46cf4c166e4a6dc2d360d243147f20ca1e75e3,53d7b45b3deea864f3dcbbb3041ef3611a4a7f805ab8d3b271521ef17afabe77,88154a233ae75ac62ed01b4f5343154270252d07dc1b98cea21f6cbd93d438d7,275474fd0b9de8b6023e1f8f74dce3decd111e2b45dc6a575db50eeb8a18eedb,13.02,4.57,8.45,-2.5,4.2,0.0,34,4971.8,4.16,4.57,-0.41,-1.17,3.73,0.0,23,3174.47,8.86,8.86,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
13,13,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-06-26,2025-08-20,40,11932,11932,94ba7994161df529b6dea71f120367cdbdd4d27a420a0e4944f0b3b46b58d319,dbe035e9f0cee326f703a58df438ffdb50786663842d249a16358e97d3116cdc,research_3ebbb9f_20260831_155027:candidate:13,research_3ebbb9f_20260831_155027:baseline:13,4f63e49469e656592929080537ae35e956358f2c8eb1614df5f030e3517061d9,78a96fde59d65e162d83ed048d1751a4b3449b17cef35e89834fc425e9a51519,54471c866de6823b47c594dfd1bc989e39fb0ae633bb47794bc8b4860cb376cc,46427d99cc45d0484ce209f5db4b618d832e3344d0b0b479561c1097dfa0a6bc,13.91,8.25,5.66,-1.77,5.08,0.0,31,5418.12,2.99,8.25,-5.26,-3.67,1.48,0.0,30,4038.7,10.92,10.92,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
14,14,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-08-21,2025-10-23,40,11944,11944,c0a9af674854370d9894dd8d3156b52938a152173791c2cb1826b201070326b3,539c3927e9d18d614eedb5fdcd57a71bdf17c2439551f5dc0d95b6a5038780a8,research_3ebbb9f_20260831_155027:candidate:14,research_3ebbb9f_20260831_155027:baseline:14,77144f64757daf7d922b49efd7ca1c864668788ee23fdc05b3c0f4b4df3640ea,d4d6fe742e0c78a0d27e3b4981a452113b2e81c07605a376127393355c5ac846,65233778de5e4ba01beee9b5ce4b618b639b0070a490001364bd5d9b92670df5,e12107a94893003c7ebd6e362f40423a5d1fcf347fee05ea4c5badef78ce9df6,-1.66,7.42,-9.08,-6.25,-0.95,0.0,29,4625.29,10.18,7.42,2.76,-3.96,2.93,0.0,31,5470.61,-11.84,-11.84,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
15,15,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-10-24,2025-12-18,40,11931,11931,65e05a322eeb7251d98fb39c831ec886db635a3bd82ad08c5afe47a689c2790b,25bee87bb3ff82e7e53239b4f578f3131e10b9cecc4c55c0e814f4793769fd2c,research_3ebbb9f_20260831_155027:candidate:15,research_3ebbb9f_20260831_155027:baseline:15,63c1b0d443bc6ab5e5b0f05bde4ded5d903a3fdd1cd7edbb9740a8c94d1b3d2f,897c6c952d2c8a5cef82f76b018ad2d5109aba37d52664818bd7fee38700968d,cf1d9ee9ae3aeeb8eb1f09301cede9a605b5ee0de0632a76b7712d9eb36d27a5,8414084f111ff3055a0a19e9f88f5c20231d1ffd25bd9644ec9be15308e3bd9f,5.13,-2.31,7.44,-3.34,2.09,0.0,32,5328.78,-1.76,-2.31,0.55,-6.02,-1.47,0.0,26,3059.9,6.89,6.89,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
16,16,lightgbm_reg_baseline,lightgbm_clf_baseline,2025-12-19,2026-02-24,40,11975,11975,9350b8fe8606b55ef54baabb6f7f1f5493047300446c6ebf6a2ecf1c20eb6f9d,05090fc8e7f67e3ba32648a73c1cf4513bbcc144636466849e51ef9c79285b35,research_3ebbb9f_20260831_155027:candidate:16,research_3ebbb9f_20260831_155027:baseline:16,36236c57c2da33538d1988f62f9230f0cfd77d46ee26dc61b3503af0acce7668,209a77b5f30dc50c04fb01eeb42b7c52aa88fde27d0e9bbda970281d47e3390b,b1952252ccaacab89a2018e636d22392374c6a625fdf62b39faaa2e89830f660,9552e03088944c4dd8012c9f713c300d5cff6d17b3601f12c5bdb2059aad229f,13.73,3.05,10.68,-1.61,5.8,0.0,32,5965.77,2.79,3.05,-0.26,-6.44,1.04,0.0,31,4702.96,10.94,10.94,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
17,17,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-02-25,2026-04-22,40,11987,11987,d565cdc18f24ade81ed7b77e0c609bfd70d31bc72782d17643d7d63f3e02abae,5f545491c49a2e3cfbc71f1c795defebd50af3a2084ca689a9f15124ab61e3c2,research_3ebbb9f_20260831_155027:candidate:17,research_3ebbb9f_20260831_155027:baseline:17,f322aa85d0361e739f3e933585f181e4e6768884747485820f05cb157d12c399,195496c5ded79ca58ab47e66ac937e3027f1f5e049c293c9f066b64f8e166317,a56719be3dfa407d0124b16baeec86b68e29620366f056eca60bcb04b0d89988,f8d11f24c3cff9abb40beb05ae56e3b7d4983677c3be8719454475b5714ce7de,-3.7,1.35,-5.05,-7.51,-2.15,0.0,30,4713.35,-3.09,1.35,-4.44,-5.09,-1.22,0.0,37,4250.56,-0.61,-0.61,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
18,18,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-04-23,2026-06-23,40,11993,11993,824dafacffb5606476abb94a65ccd4aef41e5c7ab370c6f0e94d04989b8f31de,ba5554ca1585fb669b8f41d3ccb9c6f9caba43208d64411467f16c1a258c2dc9,research_3ebbb9f_20260831_155027:candidate:18,research_3ebbb9f_20260831_155027:baseline:18,24c5ff2ca44ffd0e8ce1319f949305d2bfee98d31d8e871fd9e1d4c22da98812,048b7122f7e387584a00c48404080b85615d96e9a59303414d75246bccbb02ca,ba92780c3e22da374c20ddee2afa710eeef6289d41faa76cbf440c3d526e56cf,ad329d54b6e43e5ce430c1e83bc500d5d31495e5bb190182c07a0dcd141de4c3,-0.08,2.78,-2.86,-5.68,-0.14,0.0,32,5209.02,-7.9,2.78,-10.68,-10.48,-4.45,0.0,34,4492.02,7.82,7.82,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
19,19,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-06-24,2026-08-18,40,11990,11990,fbdeb5d71510cb9f38de7012da230a00b16c00ab9e10ff3d5fbbc8224406a8a3,18165abfbe7ccabfaa36744754dcf2867a82551674cd06b6d8f85265ada6dedb,research_3ebbb9f_20260831_155027:candidate:19,research_3ebbb9f_20260831_155027:baseline:19,7ae7a0bd0181e9ce1c7ed19566caf5874b3b2ff72b14028d578021498cb5ab38,ff8d6ffde0f8fc2902dbca3ae4ced35042bcc7d9415a2ec0b8498f7e4534820b,5dee1b6c5267011a7efe639fc328d6d77ba7f80d8abfa1877f0fd5fc462d062e,31964c7b7324e3a9b976a9c475d28703285cf77971c87e10773d57dad553046c,-2.0,-4.39,2.39,-5.9,-0.89,0.0,34,4792.38,-3.18,-4.39,1.21,-4.82,-1.2,0.0,35,3733.89,1.18,1.18,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,True
20,20,lightgbm_reg_baseline,lightgbm_clf_baseline,2026-08-19,2026-08-24,4,1200,1200,f78af67a9774746e76096716347f3fad01e49c1037126cc8ac814d2373e676f0,746ea020b2cbf582efcfbf3cbeeaf84deaf574224ee8055747ef991ecb90dfbd,research_3ebbb9f_20260831_155027:candidate:20,research_3ebbb9f_20260831_155027:baseline:20,d93b53b3d4fcc4d556eb53cc18bc50bf198bb4a670a4f0eb4a55bb40290410d1,e5e82905bcf3591ce593e9955a6faf8e3d27b90c9d341352f63779716e59f781,a17ac1f1e4b5b4d0157a09fd969de1df547f3e5df342cf215f30b3561cc7e13a,4461289281c03ab0ddd0e4c26ac1dafefa4083486686156ba801346a06e4f29d,-4.21,-0.56,-3.65,-4.21,-13.88,0.0,8,1166.48,1.21,-0.56,1.77,-0.58,7.01,0.0,8,1153.99,-5.42,-5.42,a0c96c6ae47332299732fd50e23898ddcc1a3b3f3a072df734f44aef33f4d13a,9a882c4568d662ab15220992989b6bd2d2042222469d9059ab33a68c882a4a42,3ebbb9fa3f8dd6ed71dd56d1cdb6fd3faf8d8c0c,False
